,Rank,NCT Number,Title,Acronym,Status,Study Results,Conditions,Interventions,Outcome Measures,Sponsor/Collaborators,Gender,Age,Phases,Enrollment,Funded Bys,Study Type,Study Designs,Other IDs,Start Date,Primary Completion Date,Completion Date,First Posted,Results First Posted,Last Update Posted,Locations,Study Documents,URL
653,240,NCT04825730,Follow-up Study for Participants of Jointstem Investigator Initiated Trial by Arthroscopy,,Not yet recruiting,No Results Available,Degenerative Arthritis|Knee Arthritis,Drug: JOINTSTEM,Adverse Events|Adverse Events (Special Attention Target),R-Bio,All,"20 Years and older   (Adult, Older Adult)",Not Applicable,14,Industry,Interventional,Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,BS-JS-IIT1-FU,"December 1, 2021","December 1, 2027","December 31, 2028","April 1, 2021",,"April 1, 2021",,,https://ClinicalTrials.gov/show/NCT04825730
654,345,NCT01531348,Intravitreal Injection of MSCs in Retinitis Pigmentosa,,Completed,No Results Available,Retinitis Pigmentosa,Other: BM-MSC,Change from baseline in laser flare and cell measurements|Change from baseline in visual function tests,"Mahidol University|Ministry of Health, Thailand",All,"18 Years to 65 Years   (Adult, Older Adult)",Phase 1,14,Other,Interventional,Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Other,RP-001,April 2012,July 2020,July 2020,"February 10, 2012",,"September 8, 2021","Siriraj Hospital Mahidol University, Bangkoknoi, Bangkok, Thailand",,https://ClinicalTrials.gov/show/NCT01531348
655,695,NCT05322057,Efficacy of Cx601 (Darvadstrocel) for the Treatment of Perianal Fistulizing Crohn's Disease,,Completed,No Results Available,Crohn Disease|Fistula Perianal,Drug: Darvadstrocel,Fistula Closure|Evaluation of perianal disease|Evaluation of Crohn's disease,Medical University of Vienna,All,"18 Years to 90 Years   (Adult, Older Adult)",,14,Other,Observational,Observational Model: Case-Only|Time Perspective: Prospective,1682/2018,"October 1, 2018","December 1, 2021","December 1, 2021","April 11, 2022",,"April 11, 2022","Medical University of Vienna, Vienna, Austria",,https://ClinicalTrials.gov/show/NCT05322057
656,27,NCT02981576,Safety and Effectiveness of BM-MSC vs AT-MSC in the Treatment of SCI Patients.,,Completed,No Results Available,Spinal Cord Injuries,Biological: Autologous Mesenchymal Stem Cells,Comparing the number of side effects and the improvement on ASIA Impairment score between SCI patients receiving autologous AT-MSC vs BM-MSC.|Investigating the number of side effects in SCI patients receiving autologous BM-MSC.|Investigating the effectiveness of autologous BM-MSC in treating SCI patients.|Investigating the number of side effects in SCI patients receiving autologous AT-MSC.|Investigating the effectiveness of autologous AT-MSC in treating SCI patients.,University of Jordan,All,"18 Years to 70 Years   (Adult, Older Adult)",Phase 1|Phase 2,14,Other,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,SCIUJCTC,November 2016,"May 5, 2018","January 20, 2019","December 5, 2016",,"September 24, 2019","Cell Therapy Center, University of Jordan, Amman, Jordan",,https://ClinicalTrials.gov/show/NCT02981576
657,123,NCT01325103,Autologous Bone Marrow Stem Cell Transplantation in Patients With Spinal Cord Injury,,Completed,No Results Available,Spinal Cord Injury,Procedure: Stem Cell Transplantation,Feasibility and safety of bone marrow stem cell transplantation in patients with spinal cord injury|Functional improvement in muscle strength|Improvement of sphincters control.,Hospital Sao Rafael|Oswaldo Cruz Foundation|Irep Sociedade de Ensino Superior Médio e Fundamental Limitada|Hospital Espanhol,All,18 Years to 50 Years   (Adult),Not Applicable,14,Other,Interventional,Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,SCI-001,July 2010,December 2012,December 2012,"March 29, 2011",,"November 28, 2017","Hospital São Rafael, Salvador, Bahia, Brazil",,https://ClinicalTrials.gov/show/NCT01325103
658,55,NCT02118519,Mesenchymal Stem Cells in Knee Cartilage Injuries,,Completed,No Results Available,"Articular Cartilage Disorder of Knee|Osteoarthritis, Knee",Biological: Autologous Mesenchymal Stem Cells,Assessing the therapeutic benefits of the injected Autologous Mesenchymal Stem Cells.|Assessment of the articular cartilage healing in osteoarthritic patients through intra articular injection of Autologus Mesenchymal stem cell with/or without supported product.,University of Jordan,All,"40 Years to 68 Years   (Adult, Older Adult)",Phase 2,13,Other,Interventional,"Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Treatment",KneeUJCTC,January 2014,August 2015,August 2015,"April 21, 2014",,"February 24, 2016","Cell Therapy Center, Jordan University Hospital, Amman, Jordan",,https://ClinicalTrials.gov/show/NCT02118519
659,61,NCT02751125,Reconstruction of Jaw Bone Using Mesenchymal Stem Cells,,Completed,No Results Available,Bone Atrophy,Drug: BCP with autologous mesenchymal stem cells (MSC).,Amount of newly formed bone induced by MSCs and the bone substitute. These measurements are based on radiological assessments.|Implant stability|Incidence of Treatment-Emergent Adverse Events [Safety and Tolerability],University of Bergen|University of Ulm|Haukeland University Hospital|Université de Nantes,All,"18 Years to 80 Years   (Adult, Older Adult)",Phase 1,13,Other,Interventional,Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,2012-003139-50,June 2014,"March 1, 2019","March 1, 2020","April 26, 2016",,"March 3, 2020","Institute of Clinical Dentistry, University of Bergen, Bergen, Hordaland, Norway",,https://ClinicalTrials.gov/show/NCT02751125
660,265,NCT02888704,Safety and Efficacy of ADSTEM Inj. in Patients With Moderately Subacute and Chronic Atopic Dermatitis,,Completed,No Results Available,Atopic Dermatitis,Drug: ADSTEM Inj. (Adult human mesenchymal stem cells),The number of subjects with treatment-related adverse events as assessed by CTCAE version 4.03|The reduction ratio of scoring atopic dermatitis (SCORAD) index as contrasted with baseline value|The variation of SCORAD index as contrasted with baseline value|The variation of each index score of SCORAD index as contrasted with baseline value|The variation of the degrees of disease as contrasted with baseline value|The variation of investigator's global assessment (IGA) as contrasted with baseline value|The variation of eczema area and severity index (EASI) total score as contrasted with baseline value|The variation of total immunoglobulin E (IgE) in serum as contrasted with baseline value|The variation of total prostaglandin E2 (PGE2) in serum as contrasted with baseline value|The variation of total eosinophil cationic protein (ECP) in serum as contrasted with baseline value|The variation of total Chemokine ligand 17 (CCL17) in serum as contrasted with baseline value|The variation of total Chemokine ligand 27 (CCL27) in serum as contrasted with baseline value,"EHL Bio Co., Ltd.",All,"19 Years to 70 Years   (Adult, Older Adult)",Phase 1,13,Industry,Interventional,Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,AD-CP-15-1|30902,July 2016,December 2017,December 2017,"September 5, 2016",,"December 22, 2017","Chungnam National University Hospital, Daejeon, Chungcheongnam-do, Korea, Republic of",,https://ClinicalTrials.gov/show/NCT02888704
661,74,NCT01895439,Safety and Efficacy Study of Autologus Bone Marrow Mesenchymal Stem Cells in Multiple Sclerosis,,Completed,No Results Available,Multiple Sclerosis,Biological: Autologous Mesenchymal Stem Cells,The number of patients with any relevant side effects observed|Assessing the therapeutic benefits of the injected Autologous Mesenchymal Stem Cells by Magnetic Resonance Imaging (MRI) and ophthalmological tests.,University of Jordan,All,"18 Years to 65 Years   (Adult, Older Adult)",Phase 1|Phase 2,13,Other,Interventional,Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,MSUJCTC,October 2012,February 2016,February 2016,"July 10, 2013",,"May 2, 2017","Cell Therapy Center, Jordan University Hospital, Amman, Jordan",,https://ClinicalTrials.gov/show/NCT01895439
662,60,NCT04357600,Umbilical Cord Mesenchymal Stem Cell for Liver Cirrhosis Patient Caused by Hepatitis B,,Recruiting,No Results Available,Liver Cirrhoses,Biological: Allogeneic Umbilical Cord Mesenchymal Stem Cell,Child Pugh Score|Examination of liver function|MELD Score,PT. Prodia Stem Cell Indonesia,All,"18 Years to 65 Years   (Adult, Older Adult)",Phase 1|Phase 2,12,Industry,Interventional,Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,CT/LC/01/2018,"May 17, 2018","June 20, 2023","December 20, 2023","April 22, 2020",,"June 15, 2022","Cipto Mangunkusumo hospital, Jakarta, DKI Jakarta, Indonesia",,https://ClinicalTrials.gov/show/NCT04357600
663,1,NCT04339504,Follow-up Safety and Efficacy Evaluation on Subjects Who Completed Phase I Clinical Trial,,Recruiting,No Results Available,Knee Osteoarthritis,Biological: SMUP-IA-01(low-dose)|Biological: SMUP-IA-01(mid-dose)|Biological: SMUP-IA-01(high-dose),"Change of total score in WOMAC (Western Ontario and McMaster University)|Change of score in WOMAC three subscales (Pain, stiffness, physical function)|Change of score in 100 mm VAS (Visual Analogue Scale)|Change of score in IKDC(International Knee Documentation Committee)|Change of score in WORMS(Whole-Organ Magnetic Resonance iMaging Score)|Change in K&L(Kellgren-Lawrence) grade|Change in joint space width|Change in mechanical axis, anatomical axis|Rate of surgery to treat application site after treatment of SMUP-IA-01|Changes in biomarker",Medipost Co Ltd.,All,"19 Years and older   (Adult, Older Adult)",Phase 1,12,Industry,Interventional,Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,MP-SMUP-IA-P01-F/U,"April 14, 2020",December 2025,December 2025,"April 9, 2020",,"August 24, 2022","Seoul national University Hospital, Seoul, Jongno-gu, Korea, Republic of",,https://ClinicalTrials.gov/show/NCT04339504
664,130,NCT02351011,Human Autologous MSCs for the Treatment of Mid to Late Stage Knee OA,,Completed,No Results Available,Osteoarthritis of Knee,Biological: 1 x 10^6 MSCs|Biological: 10 x 10^6 MSCs|Biological: 50 x 10^6 MSCs,"Safety as determined by the occurrence of local and systemic adverse events and/or serious adverse events.|Knee Injury and Osteoarthritis Outcome Score (KOOS)|Marx Activity Scale (Patient-reported activity)|Short-Form 36 (Health-related quality of life)|Whole Organ MRI Score (WORMS), Gadolinium-enhanced MRI, T2 Mapping (To assess joint structure, inflammation, and cartilage status over time)|Cartilage oligomeric matrix protein (COMP)|Hyaluronic acid (HA)|C-terminal telopeptide of type II collagen (CTXII)|Types I and II collagen cleavage (C1,2C)|Type II collagen cleavage (C2C)|IL-6/TNFα/IL-15","Jas Chahal|University Health Network, Toronto",All,"40 Years to 65 Years   (Adult, Older Adult)",Phase 1|Phase 2,12,Other,Interventional,Allocation: Non-Randomized|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Other,MSC-001,February 2015,December 2018,December 2018,"January 30, 2015",,"September 27, 2019","Toronto Western Hospital, Toronto, Ontario, Canada",,https://ClinicalTrials.gov/show/NCT02351011
665,2,NCT04037345,Evaluate Safety and Explore Efficacy of SMUP-IA-01 in Patients With Knee Osteoarthritis,,Completed,No Results Available,Knee Osteoarthritis,Biological: SMUP-IA-01(low-dose)|Biological: SMUP-IA-01(mid-dose)|Biological: SMUP-IA-01(high-dose),"Change of total score in WOMAC (Western Ontario and McMaster University Osteoarthritis Index) compared to baseline at 6 months after treatment|Change of score in WOMAC three subscales (Pain, stiffness, physical function)compared to baseline at 6 months after treatment|Change of score in 100 mm VAS (Visual Analogue Scale) compared to baseline|Change of score in IKDC(International Knee Documentation Committee)compared to baseline|Change of score in WORMS(Whole-Organ Magnetic Resonance iMaging Score) compared to baseline at 6 months after treatment|Change in K&L(Kellgren-Lawrence) grade compared to the baseline at 3 months and 6 months after treatment|Change in joint space width compared to the baseline at 3 months and 6 months after treatment|Change in mechanical axis, anatomical axis compared to the baseline at 3 months and 6 months after treatment",Medipost Co Ltd.,All,"19 Years and older   (Adult, Older Adult)",Phase 1,12,Industry,Interventional,Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,MP-SMUP-IA-01-P01,"October 7, 2019","November 12, 2020","November 12, 2020","July 30, 2019",,"February 24, 2021","Seoul National University Hospital, Seoul, Jongno-gu, Korea, Republic of",,https://ClinicalTrials.gov/show/NCT04037345
666,121,NCT03130374,Treatment of Laryngotracheal Stenosis Using Mesenchymal Stem Cells,,Completed,No Results Available,Tracheal Stenosis|Laryngeal Stenosis|Mesenchymal Stem Cells,Biological: Olfactory mucosa-derived mesenchymal stem cells,Number of patients who didn't require the repeated surgical interventions|Tracheostomy decannulation,The Republican Research and Practical Center for Epidemiology and Microbiology|Belarusian Medical Academy of Post-Graduate Education|The Republican Center for Research and Practice in Otolaryngology,All,"18 Years to 85 Years   (Adult, Older Adult)",Phase 1|Phase 2,12,Other,Interventional,Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,RRPCEM_MSC1,"January 3, 2017","January 4, 2019","May 20, 2019","April 26, 2017",,"June 7, 2019","The Republican Center for Research and Practice in Otolaryngology, Minsk, Belarus|The Republican Research and Practical Center for Epidemiology and Microbiology, Minsk, Belarus",,https://ClinicalTrials.gov/show/NCT03130374
667,104,NCT04484077,hCT-MSC Infusion in Adults With Autism Spectrum Disorder,AIMs,Recruiting,No Results Available,Autism Spectrum Disorder|Autism,Biological: hCT-MSC,"Incidence of infusion reactions|Incidence of product-related infections|Evidence of formation of anti-HLA antibodies|Incidence of graft vs. host disease|Incidence of unexpected adverse events, by severity and relation to study|The Vineland Adaptive Behavior Scale Interview, 3rd Edition, Comprehensive interview form|Social Responsiveness Scale, Second Edition (SRS-2)|Social Withdrawal Subscale of the Aberrant Behavior Checklist, Community Edition (ABC-C)|Pediatric Quality of Life Inventory General Core Scales|Pediatric Quality of Life Inventory Family Impact Measure|Pediatric Quality of Life Inventory General Core Scales - Adult Version","Joanne Kurtzberg, MD|The Marcus Foundation|Duke University",All,18 Years to 34 Years   (Adult),Phase 1,12,Other,Interventional,Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,PRO00104691,"January 24, 2022",March 2023,June 2023,"July 23, 2020",,"September 6, 2022","Duke University Medical Center, Durham, North Carolina, United States",,https://ClinicalTrials.gov/show/NCT04484077
668,6,NCT01183728,Treatment of Knee Osteoarthritis With Autologous Mesenchymal Stem Cells,KDD&MSV,Completed,Has Results,"Osteoarthritis, Knee|Knee Degenerative Disease|Knee Osteoarthritis",Other: Autologous bone marrow mesenchymal stem cells (MSV),Feasibility and Safety of the Implementation of MSV in the Treatment of Osteoarthritis of the Knee.|Indication of Efficacy,"Red de Terapia Celular|Fundacion Teknon, Centro Medico Teknon, Barcelona|University of Valladolid|Centro en Red de Medicina Regenerativa de Castilla y Leon|Institut de Terapia Regenerativa Tissular|EGARSAT Suma Intermutual, Barcelona, Spain|Cetir Sant Jordi, S.a..",All,"18 Years to 76 Years   (Adult, Older Adult)",Phase 1|Phase 2,12,Industry|Other,Interventional,Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,TerCel001|Eudra-CT 2009-017405-11|Protocol Code,May 2010,August 2014,September 2014,"August 18, 2010","January 15, 2015","January 15, 2015","Teknon Medical Center, ITRT, Barcelona, Spain|Instituto de Biologia y Genetica Molecular (IBGM), University of Valladolid, Valladolid, Spain",,https://ClinicalTrials.gov/show/NCT01183728
669,262,NCT01733186,"Evaluation of Safety and Exploratory Efficacy of CARTISTEM®, a Cell Therapy Product for Articular Cartilage Defects",,Completed,Has Results,Degeneration Articular Cartilage Knee,Biological: CARTISTEM®,IKDC Score|VAS|Lysholm Score|KOOS Score,Medipost Co Ltd.,All,"18 Years and older   (Adult, Older Adult)",Phase 1|Phase 2,12,Industry,Interventional,Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,MP-0201-01,"January 7, 2013","June 2, 2017","August 29, 2017","November 26, 2012","July 30, 2021","July 30, 2021","Cartilage Restoration Center; RUSH University Medical Center, Chicago, Illinois, United States|Cartilage Repair Center; Brigham and Women's Hospital, Chestnut Hill, Massachusetts, United States","""Study Protocol and Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/86/NCT01733186/Prot_SAP_000.pdf",https://ClinicalTrials.gov/show/NCT01733186
670,518,NCT05315661,The Safety and The Efficacy Evaluation of ET-STEM in Patients With Frontotemporal Dementia,FTD_ET-STEM,Not yet recruiting,No Results Available,Frontotemporal Dementia,Drug: ET-STEM,To determine DLT (Dose limiting toxicity)|adverse events as assessed by CTCAE v5.0|ADAS-Cog 13 response rate|The Clinical Dementia Rating Sum of Boxes|Alzheimer's Disease Cooperative Study- instrumental items of the Activities of Daily Living Inventory|Caregiver-administered Neuropsychiatric Inventory|preliminary efficacy|K-MMSE,Samsung Medical Center,All,"40 Years to 85 Years   (Adult, Older Adult)",Phase 1,12,Other,Interventional,Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,2022-02-089,"May 17, 2022","December 31, 2026","December 31, 2026","April 7, 2022",,"May 13, 2022",,,https://ClinicalTrials.gov/show/NCT05315661
671,119,NCT03099239,hCT-MSCs for Children With Autism Spectrum Disorder (ASD),hCT-MSCs,Completed,No Results Available,Autism|Autism Spectrum Disorder|ASD,Biological: hCT-MSC infusion,Incidence of Infusion reactions|Incidence of Infections,"Joanne Kurtzberg, MD|The Marcus Foundation|Duke University",All,2 Years to 11 Years   (Child),Phase 1,12,Other,Interventional,Allocation: Non-Randomized|Intervention Model: Sequential Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,Pro00079421,"June 6, 2017","June 10, 2019","June 10, 2019","April 4, 2017",,"December 3, 2019","Duke University Medical Center, Durham, North Carolina, United States",,https://ClinicalTrials.gov/show/NCT03099239
672,210,NCT03455335,Autologous Stem Cells for the Treatment of No Option Critical Limb Ischemia,,Completed,No Results Available,Critical Limb Ischemia,Drug: 20 million hMSCs|Drug: 40 million hMSCs|Drug: 80 million hMSCs,"The number of Serious Adverse Events that are attributable to the treatment|The severity of Serious Adverse Events that are attributable to the treatment|Amputation free survival|median time to amputation,|Change in Transcutaneous Pressure of Oxygen TcPO2|Change in Ankle Brachial Index|Collateral vessel formation|Change in Ischemic rest pain|Change in Ulcer size|Change in Quality of Life","National University of Ireland, Galway, Ireland|University Hospital of Limerick",All,"18 Years to 85 Years   (Adult, Older Adult)",Phase 1,12,Other,Interventional,Allocation: Non-Randomized|Intervention Model: Sequential Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,2013-001,"March 23, 2015","October 31, 2019","October 31, 2019","March 6, 2018",,"March 4, 2021","Galway University Hospital, Galway City, Galway, Ireland",,https://ClinicalTrials.gov/show/NCT03455335
673,754,NCT04007081,Salivary Gland Autotransplantation for Treatment of XRT Induced Xerostomia,,Completed,No Results Available,Xerostomia|Head and Neck Cancer,Procedure: Bone Marrow Aspiration|Diagnostic Test: Ultrasound Imaging of Salivary Glands|Other: Salivary Assay|Other: Quality of Life Instruments,Number of Participant's whose Marrow-Derived MSCs Can be Expanded in vitro to > 50 million cells within two weeks|Change in participant QoL: XeQOL|Change in participant QoL: MDADI|Change in participant QoL: VAS|Change in participant Salivary Function: Unstimulated|Change in participant Salivary Function: Stimulated|Change in participant Salivary Gland Size,"University of Wisconsin, Madison",All,"18 Years to 89 Years   (Adult, Older Adult)",Not Applicable,12,Other,Interventional,Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Basic Science,UW19009|2019-0497|SMPH/HUMAN ONCOLOGY/HUMAN ONCO|A533300|Protocol Version 7/24/2020,"October 18, 2019","March 10, 2021","March 10, 2021","July 5, 2019",,"March 24, 2021","University of Wisconsin Carbone Cancer Center, Madison, Wisconsin, United States",,https://ClinicalTrials.gov/show/NCT04007081
674,133,NCT01051882,"Autologous Cultured Mesenchymal Bone Marrow Stromal Cells Secreting Neurotrophic Factors (MSC-NTF), in ALS Patients.",,Completed,No Results Available,Amyotrophic Lateral Sclerosis,Biological: MSC-NTF cells transplantation (IM)|Biological: MSC-NTF cells transplantation (IT),"Safety evaluation and tolerability of a single treatment administration of autologous cultured mesenchymal bone marrow stromal cells secreting neurotrophic factors (MSC-NTF)|Safety evaluation and tolerability of single intrathecal injection (IT) into the cerebrospinal fluid (CSF) of autologous cultured mesenchymal bone marrow stromal cells secreting neurotrophic factors (MSC-NTF)|Changes in the progression rate of the disease as evidenced by changes in the ALS functional rating scale (ALS-FRS)|Changes in muscle strength grading (MVIC) by muscle chart|Changes in forced vital capacity (FVC %) (In the progressive disease stage group only).|Changes in muscle bulk estimated by MRI of the upper and lower extremities|Changes in upper and lower extremities circumference (cm)|Changes in EMG parameters|Need and time to tracheotomy or permanent assisted ventilation|Overall survival, calculating time to death",Brainstorm-Cell Therapeutics|Hadassah Medical Organization,All,"20 Years to 75 Years   (Adult, Older Adult)",Phase 1|Phase 2,12,Industry|Other,Interventional,Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,MSC-NTF-001-HMO-CTIL,June 2011,December 2012,March 2013,"January 20, 2010",,"January 10, 2019","Hadassah Medical Organization, Jerusalem, Israel",,https://ClinicalTrials.gov/show/NCT01051882
675,177,NCT04758533,Clinical Trial to Assess the Safety and Efficacy of AloCELYVIR With Newly Diagnosed Diffuse Intrinsic Pontine Glioma (DIPG) in Combination With Radiotherapy or Medulloblastoma in Monotherapy,AloCELYVIR,Recruiting,No Results Available,"Diffuse Intrinsic Pontine Glioma|Medulloblastoma, Childhood, Recurrent",Biological: AloCELYVIR,Dose-Limiting Toxicities rate (DLTs)|Objective response rate|Feasibility of the combination/monotherapy|Incidence of treatment-Emergent Adverse Event|Progression-free survival (PFS)|Overall Survival (OS)|Antiadenoviral humoral immune response in patients|Antiadenoviral tumoral immune response in patients|Replication kinetics of Icovir-5,"Hospital Infantil Universitario Niño Jesús, Madrid, Spain|Apices Soluciones S.L.",All,"1 Year to 21 Years   (Child, Adult)",Phase 1|Phase 2,12,Other|Industry,Interventional,Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,FIBHNJ-2020-01,"April 19, 2021",October 2024,October 2024,"February 17, 2021",,"August 26, 2021","Hospital Infantil Universitario Niño Jesús, Madrid, Spain",,https://ClinicalTrials.gov/show/NCT04758533
676,165,NCT05333029,Extracorporeal Photopheresis and Mesenchymal Stem Cell Infusion for GVHD,,Not yet recruiting,No Results Available,Graft Versus Host Disease,Biological: Allogeneic mesenchymal stromal cells (MSCs)|Biological: Extracorporeal photopheresis (ECP),Percent of participants with response to therapy|aGVHD severity per Blood and Marrow Transplant Clinical Trials Network Manual of Operations (BMT MOP).|aGVHD incidence|Safety as measured by number of adverse events attributed to MSC and ECP therapy|Safety as measured by severity of adverse events attributed to MSC and ECP therapy|Number of participants with non-relapse mortality (NRM)|Number of participants with relapse-related mortality|Average time to relapse|Chronic GVHD incidence|Overall Survival (OS)|Steroid dose decrease|Steroid discontinuation rate|Change in FACT-BMT (Functional Assesment of Cancer Therapy-Bone Marrow Transplant) survey score|Percent regulatory T cells (% Tregs)|CD4:CD8 ratio,Molly Gallogly|Case Comprehensive Cancer Center,All,"18 Years to 75 Years   (Adult, Older Adult)",Phase 2,12,Other,Interventional,Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,CASE1Z20,October 2022,June 2023,December 2023,"April 18, 2022",,"July 26, 2022","University Hospitals Cleveland Medical Center, Case Comprehensive Cancer Center, Cleveland, Ohio, United States",,https://ClinicalTrials.gov/show/NCT05333029
677,226,NCT05549609,A Study of XSTEM-VLU in Patients With Difficult-to-heal Venous Leg Ulcers,,Recruiting,No Results Available,Venous Leg Ulcer,Biological: XSTEM-VLU|Other: Vehicle,Safety and tolerability: Adverse events (AEs)|Safety and tolerability: Local tolerability|Safety and tolerability: Number of participants with abnormal 12-lead electrocardiogram (ECG)|Safety and tolerability: Number of participants with abnormal vital signs|Safety and tolerability: Number of participants with abnormal laboratory test results|Safety and tolerability: Number of participants with abnormal physical examination findings|Preliminary efficacy: Wound area reduction (absolute and percentage) compared to baseline|Preliminary efficacy: Proportion of patients with re-epithelialization of >=95% and >=50% of the wound area measured at baseline|Preliminary efficacy: Time to re-epithelialization of >=95% and >=50% of the wound area measured at baseline|Preliminary efficacy: Pain for target wound and the affected leg using Visual Analogue Scale (VAS)|Preliminary efficacy: Scar formation assessed by the Patient and Observer Scar Assessment Scale (POSAS),Xintela AB|Vinnova,All,"18 Years and older   (Adult, Older Adult)",Phase 1|Phase 2,12,Industry|Other,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Participant)|Primary Purpose: Treatment,XIN-XSTEM-201,September 2022,June 2023,June 2023,"September 22, 2022",,"September 23, 2022","Burn Centre, Linköping University Hospital, Linköping, Sweden",,https://ClinicalTrials.gov/show/NCT05549609
678,15,NCT01856140,Treatment of Tendon Injury Using Mesenchymal Stem Cells,ALLO-ASC,Completed,Has Results,Lateral Epicondylitis,Biological: ALLO-ASC(allogeneic adipose derived mesenchymal stem cell) injection,Change From Baseline in Visual Analog Scale (VAS) at 6 and 12 Weeks|Modified Mayo Clinic Performance Index for the Elbow|Defect Area of Tendon by Ultrasonography in Long Axis|Defect Area of Tendon by Ultrasonography in Short Axis,"Seoul National University Hospital|Medical Research Collaborating Center, Seoul, Korea",All,"19 Years to 90 Years   (Adult, Older Adult)",Early Phase 1,12,Other,Interventional,Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,SNUH-RM-SGChung-ASC-01,May 2013,July 2016,April 2018,"May 17, 2013","February 18, 2022","March 18, 2022","Seoul National University College of Medicine, Seoul, Korea, Republic of",,https://ClinicalTrials.gov/show/NCT01856140
679,283,NCT02483364,A Clinical Trial to Assess the Effect of HC-SVT-1001 and HC-SVT-1002 in the Surgical Treatment of Atrophic Pseudarthrosis of Long Bones (Bonecure),Bonecure,Completed,No Results Available,Pseudoarthrosis,Other: HC-SVT-1001(initial protocol); HC-SVT-1002 (protocol amendment),Safety of HC-SVT-1001 and HC-SVT-1002 in the surgical treatment of atrophic nonunion in long bones by recording of adverse events.|Effectiveness by mean of radiological methods on the appearance of signs of osseous setting formation.|Comparative statistical analysis,Salvat,All,"18 Years to 65 Years   (Adult, Older Adult)",Phase 2,12,Industry,Interventional,Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,STEMQUIRI/12ES01,"November 10, 2015","May 18, 2020","October 20, 2020","June 26, 2015",,"March 17, 2021","Laboratorios Salvat, S.A., Esplugues de Llobregat, Barcelone, Spain",,https://ClinicalTrials.gov/show/NCT02483364
680,26,NCT05035862,Mechanisms of Interferon Gamma-primed Mesenchymal Stromal Cells (MSCs) for Moderate-to-severe Persistent Asthma,,Recruiting,No Results Available,Asthma,Drug: Albuterol Sulfate|Drug: Interferon gamma-primed mesenchymal stromal cells (MSCs)|Drug: Prednisone,Change in number of adverse events and severe adverse events post-intervention|Number of grade ≥3 adverse reaction attributable to the γMSC product|Change in lung function test|In- vivo trafficking of MSCs after intravenous infusion|Upper airway inflammation of MSC treatment|Circulating inflammatory cells of MSC treatment|Biophysical characteristics of the cell products and correlation with clinical outcome,"Emory University|The Marcus Foundation|Ossium Health, Inc.",All,18 Years to 30 Years   (Adult),Phase 1,12,Other|Industry,Interventional,Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Basic Science,STUDY00002655|2709,"March 16, 2022",July 2023,July 2023,"September 5, 2021",,"July 25, 2022","Children's Healthcare of Atlanta, Atlanta, Georgia, United States",,https://ClinicalTrials.gov/show/NCT05035862
