,location
796,"Melbourne Renal Research Group, Melbourne, Australia"
797,"Melitus sp. z o.o., Warsaw, Poland"
798,"Memorial Hermann Hospital - Texas Medical Center, Houston, Texas, United States"
799,"Memorial Hermann Hospital, Houston, Texas, United States"
800,"Memorial Hermann Hospital-Clinical Research Unit (MMH-CRU), Houston, Texas, United States"
801,"Memorial Sloan Kettering Cancer Center, New York, New York, United States"
802,"Mercy Cancer Center at Mercy Medical Center, Cleveland, Ohio, United States"
803,"Mercy Gilbert Medical Center / Catholic Health Care West, Gilbert, Arizona, United States"
804,"Mercy Gilbert Medical Center, Gilbert, Arizona, United States"
805,"Mercy Gilbert and Chandler Medical Center, Gilbert, Arizona, United States"
806,"Mesoblast Investigational Site 10754 - University of California, San Diego, La Jolla, California, United States"
807,"Mesoblast Investigational Site 10755 - Texas Heart Institute, Houston, Texas, United States"
808,"Mesoblast Investigational Site 10756 - Mayo Clinic, Phoenix, Arizona, United States"
809,"Mesoblast Investigational Site 10757 - Cardiology, P.C., Birmingham, Alabama, United States"
810,"Mesoblast Investigational Site 10758 - The Christ Hospital, Cincinnati, Ohio, United States"
811,"Mesoblast Investigational Site 10759 - Scripps Clinic, La Jolla, California, United States"
812,"Mesoblast Investigational Site 10760 - Shands Hospital, University of Florida, Gainesville, Florida, United States"
813,"Mesoblast Investigational Site 10761 - Mayo Clinic, Rochester, Minnesota, United States"
814,"Mesoblast Investigational Site 10762 - Minneapolis Heart Institute, Minneapolis, Minnesota, United States"
815,"Mesoblast Investigational Site 10763 - University Hospital, Salt Lake City, Utah, United States"
816,"Mesoblast Investigational Site 10764 - University of Wisconsin, Madison, Wisconsin, United States"
817,"Mesoblast Investigational Site 10765 - Georgia Regents University, Augusta, Georgia, United States"
818,"Mesoblast Investigational Site 10766 - Michigan Cardiovascular Institute, Saginaw, Michigan, United States"
819,"Mesoblast Investigational Site 10767 - Temple University Hospital, Philadelphia, Pennsylvania, United States"
820,"Mesoblast Investigational Site 10768 - University of Miami, Miami, Florida, United States"
821,"Mesoblast Investigational Site 10769 - Aurora Healthcare, Milwaukee, Wisconsin, United States"
822,"Mesoblast Investigational Site 10770 - University of Cincinnati, Cincinnati, Ohio, United States"
823,"Mesoblast Investigational Site 10771 - Heart & Vascular Research, Swedish Medical Center, Seattle, Washington, United States"
824,"Mesoblast Investigational Site 10772 - University Cardiologist, Rush University Medical Center, Chicago, Illinois, United States"
825,"Mesoblast Investigational Site 10773, Cleveland, Ohio, United States"
826,"Mesoblast Investigational Site 10774 - University of Pittsburgh, Pittsburgh, Pennsylvania, United States"
827,"Mesoblast Investigational Site 10775 - Cedars-Sinai Medical Care Foundation, Los Angeles, California, United States"
828,"Mesoblast Investigational Site 10776 - Columbia University Medical Center, New York, New York, United States"
829,"Mesoblast Investigational Site 10777 - Stern Cardiovascular Foundation, Germantown, Tennessee, United States"
830,"Mesoblast Investigational Site 10778 - Orange County Cardiology, Orange, California, United States"
831,"Mesoblast Investigational Site 10779 - Mercy Gilbert Medical Center, Gilbert, Arizona, United States"
832,"Mesoblast Investigational Site 10780 - Morton Plant Hospital, Clearwater, Florida, United States"
833,"Mesoblast Investigational Site 10781 - Duke University, Durham, North Carolina, United States"
834,"Mesoblast Investigational Site 10782, Boston, Massachusetts, United States"
835,"Mesoblast Investigational Site 10783 - Gill Heart Institute, University of Kentucky, Lexington, Kentucky, United States"
836,"Mesoblast Investigational Site 10785 - Lehigh Valley Hospital, Allentown, Pennsylvania, United States"
837,"Mesoblast Investigational Site 10786 - Cardiovascular Associates of Mesa, Mesa, Arizona, United States"
838,"Mesoblast Investigational Site 10789 - Aspirus Research Institute, Wausau, Wisconsin, United States"
839,"Mesoblast Investigational Site 11024 - Victoria Heart Institute Foundation, Victoria, British Columbia, Canada"
840,"Mesoblast Investigational Site 11025 - St. Michael's Hospital, Toronto, Ontario, Canada"
841,"Mesoblast Investigational Site 11027, Edmonton, Alberta, Canada"
842,"Mesoblast Investigational Site 13022 - University of Louisville, Louisville, Kentucky, United States"
843,"Mesoblast Investigational Site 13023 - University of Arizona Medical Center, Tucson, Arizona, United States"
844,"Mesoblast Investigational Site 13024 - Austin Heart, PLLC, Austin, Texas, United States"
845,"Mesoblast Investigational Site 13026 - Sanger Heart and Vascular Institute, Carolinas Healthcare System, Charlotte, North Carolina, United States"
846,"Mesoblast Investigational Site 13027 - Emory University School of Medicine, Atlanta, Georgia, United States"
847,"Mesoblast Investigational Site 13030 - University of Iowa, Iowa City, Iowa, United States"
848,"Mesoblast Investigational Site 13031 - St. John's Regional Medical Center, Oxnard, California, United States"
849,"Mesoblast Investigational Site 13261 - University of Pennsylvania, Philadelphia, Pennsylvania, United States"
850,"Mesoblast Investigational Site 13262 - University of Alabama at Birmingham Hospital, Birmingham, Alabama, United States"
851,"Mesoblast Investigational Site 13263 - RWJ Barnabas Heart Center, Newark, New Jersey, United States"
852,"Mesoblast Investigational Site 13264 - Florida Hospital Pepin Heart Institute, Tampa, Florida, United States"
853,"Mesoblast Investigational Site 13265 - University of California, Los Angeles, Los Angeles, California, United States"
854,"Mesoblast Investigational Site 13266, New Orleans, Louisiana, United States"
855,"Mesoblast Investigational Site 13267 - Bethesda Heart Hospital, Boynton Beach, Florida, United States"
856,"Mesoblast Investigational Site 13268 - Houston Methodist Hospital, Houston, Texas, United States"
857,"Mesoblast Investigational Site 13273 - University of Florida Health, Jacksonville, Florida, United States"
858,"Mesoblast Investigational Site 13274 - Soltero CV Research Center, Baylor Scott & White Research Institute, Dallas, Texas, United States"
859,"Mesoblast Investigational Site 13275 - Stanford University Hospital, Stanford, California, United States"
860,"Mesoblast Investigational Site 13277, Philadelphia, Pennsylvania, United States"
861,"Mesoblast Investigational Site 13278 - OhioHealth Research Institute, Columbus, Ohio, United States"
862,"Mesoblast Investigational Site 13279, Milwaukee, Wisconsin, United States"
863,"Mesoblast Investigational Site 13280, Orlando, Florida, United States"
864,"Mesoblast Investigational Site 13281, Las Vegas, Nevada, United States"
865,"MetroHealth Medical Center, Cleveland, Ohio, United States"
866,"Metroplex Clinical Research Center, Dallas, Texas, United States"
867,"Metropolitan Gastroenterology Group, Chevy Chase, Maryland, United States"
868,"Miami Baptist Hospital, Miami, Florida, United States"
869,"Miami Children's Research Institute, Miami, Florida, United States"
870,"Miami Jewish Health, Miami, Florida, United States"
871,"Miami VA Healthcare System, Miami, Florida, United States"
872,"Michael E. DeBakey VA Medical Center, Houston, TX, Houston, Texas, United States"
873,"Michigan Cardiovascular Institute, Saginaw, Michigan, United States"
874,"Midwest Orthopaedics at Rush, Chicago, Illinois, United States"
875,"Minneapolis Heart Institute 920 East 28th St, Suite 300, Minneapolis, Minnesota, United States"
876,"Minneapolis Heart Institute Foundation, Minneapolis, Minnesota, United States"
877,"Minneapolis Heart Institute, Minneapolis, Minnesota, United States"
878,"Minnesota Orthopedic Sports Medicine Institute (MOSMI), Edina, Minnesota, United States"
879,"Minsk Scientific-Practical Center for Surgery, Transplantation and Hematology, Minsk, Belarus"
880,"Mission Community Hospital, Panorama City, California, United States"
881,"Monash Medical Center, Clayton, Victoria, Australia"
882,"Monash Universtiy, Clayton, Australia"
883,"Mount Sinai Hospital, Toronto, Ontario, Canada"
884,"Mount Sinai Medical Center, Miami Beach, Florida, United States"
885,"Mount Sinai Medical Center, New York, New York, United States"
886,"Mount Sinai School of Medicine, New York, New York, United States"
887,"Mount Sinai, New York, New York, United States"
888,"Mt. Sinai Hospital, New York, New York, United States"
889,"Multiprofile Hospital for Active Treatment 'Tokuda Hospital Sofia', Sofia, Bulgaria"
890,"Mútua de Terrassa, Terrassa, Barcelona, Spain"
891,"NHS Foundation Trust, Bristol, United Kingdom"
892,"NHS Foundation Trust, Liverpool, United Kingdom"
893,"NHS Foundation Trust, Manchester, United Kingdom"
894,"NHS Foundation Trust, Nottingham, United Kingdom"
895,"NHS Trust, Leeds, United Kingdom"
896,"Nagoya University Hospital, Nagoya, Aich, Japan"
897,"Nagoya University Hospital, Nagoya, Aichi, Japan"
898,"Namazee Hospital, Shiraz, Fars, Iran, Islamic Republic of"
899,"Nancy University Hospital, Vandœuvre-lès-Nancy, France"
900,"Nanjing Chest Hosptial, Nanjing, Jiangsu, China"
901,"Nanjing Drum Tower Hospital, Nanjing, Jiangsu, China"
902,"Nanjing Medical University, Nanjing, Jiangsu, China"
903,"Nanoori hospital, Seoul, Korea, Republic of"
904,"Nantes University Hospital, Nantes, France"
905,"Nashville GI Specialists, Nashville, Tennessee, United States"
906,"National Cancer Center, Goyang-si, Gyeonggi-do, Korea, Republic of"
907,"National Chen-Kung University Hospital, Tainan City, Taiwan"
908,"National Clinical Research - Norfolk, Inc, Norfolk, Virginia, United States"
909,"National Clinical Research - Richmond, Inc., Richmond, Virginia, United States"
910,"National Institute for Drug Clinical Trial, Beijing Tongren Hospital, Capital Medical University, Beijing, Beiijng, China"
911,"National Institutes of Health Clinical Center, Bethesda, Maryland, United States"
912,"National Institutes of Health, Bethesda, Maryland, United States"
913,"National Research Medical Center, Astana, Kazakhstan"
914,"National University Hospital, Singapore, Singapore"
915,"National University of ireland - Galway University Hospital -Regenerative Medicine Institute, Galway, Ireland"
916,"Nazareth Hospital EMMS, Nazareth, Israel"
917,"Nepean Hospital, Kingswood, New South Wales, Australia"
918,"Neuroradiology/MRI, University Hospital of Grenoble, Grenoble, France"
919,"Neurovations Research, Napa, California, United States"
920,"Nevada Alliance Against Diabetes, Las Vegas, Nevada, United States"
921,"New Mexico Orthopedics, Albuquerque, New Mexico, United States"
922,"New York Medical College, Valhalla, New York, United States"
923,"New York Presbyterian Hospital, New York, New York, United States"
924,"Nightingale Hospital, Kolkata, West Bengal, India"
925,"Nihon University Itabashi Hospital, Tokyo, Japan"
926,"Niigata University Medical & Dental Hospital, Niigata, Japan"
927,"Northside Hospital, Atlanta, Georgia, United States"
928,"Northwestern Center for Clinical Research, Chicago, Illinois, United States"
929,"Northwestern University Centers for Heart Failure Therapy, Chicago, Illinois, United States"
930,"Northwestern University, Chicago, Illinois, United States"
931,"OLV Ziekenhuis Aalst, Aalst, Belgium"
932,"Obstetrics and Gynecology Hospital of Fudan University, Shanghai, Shanghai, China"
933,"Ocala Rheumatology Research Center, Ocala, Florida, United States"
934,"Ochsner Baptist Medical Center, New Orleans, Louisiana, United States"
935,"Office of Phillip Fleshner, MD, Los Angeles, California, United States"
936,"Office of Ramesh C. Gupta, MD, Fair Lawn, New Jersey, United States"
937,"Ohio Orthopedic Center of Excellence, Upper Arlington, Ohio, United States"
938,"Ohio State University, Columbus, Ohio, United States"
939,"Oklahoma Medical Research Foundation, Oklahoma City, Oklahoma, United States"
940,"Oncology Hematology Association, Pittsburgh, Pennsylvania, United States"
941,"Optimal Research LLC, Rockville, Maryland, United States"
942,"Optimum Clinical Research, Inc., Salt Lake City, Utah, United States"
943,"Options Health Research, Tulsa, Oklahoma, United States"
944,"Oregon Health & Science University, Portland, Oregon, United States"
945,"Oregon Health and Science University, Portland, Oregon, United States"
946,"Oregon University, Portland, Oregon, United States"
947,"OrthoCarolina Research Institute, Charlotte, North Carolina, United States"
948,"OrthoIndy, Indianapolis, Indiana, United States"
949,"Ortholndy, Indianapolis, Indiana, United States"
950,"Orthopaedic Associates of Michigan, Grand Rapids, Michigan, United States"
951,"Orthopaedic Associates of South Broward, PA, Hollywood, Florida, United States"
952,"Orthopaedic and traumatology department. Clínica Universidad de Navarra, Pamplona, Navarra, Spain"
953,"Orthopedic Center of Vero Beach, Vero Beach, Florida, United States"
954,"Orthopedic Pain Specialists, Santa Monica, California, United States"
955,"Orthopädische Klinik, Würzburg, Germany"
956,"Osaka University Hospital, Suita, Osaka, Japan"
957,"Osiris Clinical Site, Baton Rouge, Louisiana, United States"
958,"Osiris Clinical Site, Charlotte, North Carolina, United States"
959,"Osiris Clinical Site, Pittsburgh, Pennsylvania, United States"
960,"Osiris Clinical Site, Richmond, Virginia, United States"
961,"Ospedale Civile degli Infermi, Rimini, RN, Italy"
962,"Ospedale Maggiore della Carità, Novara, Italy"
963,"Ospedale Sacro Cuore Don Calabria (Negrar), Verona, Italy"
964,"Ospedali Riuniti Umberto I, Ancona, AN, Italy"
965,"Ottawa Hospital - General Campus, Ottawa, Ontario, Canada"
966,"Ottawa Hospital, Ottawa, Ontario, Canada"
967,"Ozzie Smith IMAC Regeneration Center, Chesterfield, Missouri, United States"
968,"PRX Research, Mesquite, Texas, United States"
969,"PRX Research/Dallas Regional Medical Center, Mesquite, Texas, United States"
970,"PT Prodia StemCell Indonesia, Jakarta, Indonesia"
971,"Pain Relief Centers, Saint Petersburg, Florida, United States"
972,"Pak Emirates Military Hospital, Rawalpindi, Punjab, Pakistan"
973,"Panax Clinical Research, Miami Lakes, Florida, United States"
974,"Pantai Cheras Medical Centre, Kuala Lumpur, Federal territory, Malaysia"
975,"Paragon Research Center, San Antonio, Texas, United States"
976,"Parc de Salut Mar, Barcelona, Spain"
977,"Parkway Cancer Centre - Gleneagles Hospital, Singapore, Singapore"
978,"Paulo Roberto Slud Brofman, Curitiba, Paraná, Brazil"
979,"Pediatric Nephrology, Dialysis and Transplant Unit, Fondazione IRCCS Ca' Granda Ospedale Maggiore Policlinico Milan, Milan, MI, Italy"
980,"Pediatric Surgery Department, King Edward Medical University, Lahore, Punjab, Pakistan"
981,"Peking Union Medical College Hospital (Dongdan campus), Beijing, Beijing, China"
982,"Peking University Insititute of Hematology, Peking University People's Hospital, Beijing, Beijing, China"
983,"Peking University Third Hospital, Beijin, China"
984,"Penn State Hershey Medical Center, Hershey, Pennsylvania, United States"
985,"Penn State Milton S. Hershey Medical Center, Hershey, Pennsylvania, United States"
986,"Penn State University - Milton S. Hershey Medical Center, Hershey, Pennsylvania, United States"
987,"Pennington Biomedical Research Center, Baton Rouge, Louisiana, United States"
988,"Peripheral Vascular Surgery, Sri Jayadeva Institute of Cardiovascular Sciences & Research, Bangalore, Karnataka, India"
989,"Peter Lougheed Centre, Calgary, Alberta, Canada"
990,"Pharmicell Co., Ltd., Seoul, Korea, Republic of"
991,"Pinehurst Medical Clinic, Pinehurst, North Carolina, United States"
992,"Pinnacle Research Group, Anniston, Alabama, United States"
993,"Policlinico Universitario Campus Bio-Medico, Roma, Italy"
994,"Pontificia Universidade Catolica do Parana, Curitiba, PR, Brazil"
995,"Pontificia Universidade Católica do Rio Grande do Sul, Porto Alegre, RS, Brazil"
996,"Pontifícia Universidade Católica do Paraná, Curitiba, Paraná, Brazil"
997,"Postgraduate Institute of Medical Education and Research, Chandigarh, UT, India"
998,"Praxis Dr. med. Abdou Zarzour, Halle, Germany"
999,"Precision Spine Care, Tyler, Texas, United States"
1000,"Premier Pain Centers, Richardson, Texas, United States"
1001,"Princess Margaret Hospital, Toronto, Ontario, Canada"
1002,"Providence Health Partners - Center for Clinical Reseach, Dayton, Ohio, United States"
1003,"Providence Health Partners - Center for Clinical Research, Dayton, Ohio, United States"
1004,"Providence Medical Foundation, Fullerton, California, United States"
1005,"Providence Saint John's Health Center - Saint John's Cancer Institute, Santa Monica, California, United States"
1006,"Pusan National University Hospital, Pusan, Korea, Republic of"
1007,"Pusan National University Yangsan Hospital, Yangsan, Kyungsangnam-do, Korea, Republic of"
1008,"Pécsi Tudományegyetem Klinikai Központ - Szívgyógyászati Klinika, Pécs, Hungary"
1009,"Qilu hospital of Shandong University, Jinan, Shandong, China"
1010,"Queen Elizabeth II Health Sciences Centre, Halifax, Nova Scotia, Canada"
1011,"RPH, Perth, Western Australia, Australia"
1012,"RS PKU Muhammadiyah Gamping, Yogyakarta, Central Java, Indonesia"
1013,"RS Primaya Bekasi Timur, Bekasi, Jakarta, Indonesia"
1014,"RSPAD Gatot Soebroto, Jakarta, DKI Jakarta, Indonesia"
1015,"RSUD Bantul, Bantul, Central Java, Indonesia"
1016,"RSUP Dr. M. Jamil, Padang, West Sumatra, Indonesia"
1017,"RSUP Dr. Sardjito, Yogyakarta, Indonesia"
1018,"RSUP Fatmawati, Jakarta, DKI Jakarta, Indonesia"
1019,"RSUP Persahabatan, Jakarta, DKI Jakarta, Indonesia"
1020,"RSUPN Dr. Cipto Mangunkusumo, Jakarta Pusat, DKI Jakarta, Indonesia"
1021,"Rabin MC, Petah Tikva, Israel"
1022,"Rambam Health Care Campus, Haifa, Israel"
1023,"Rambam MC, Haifa, Israel"
1024,"Rangueil Hospital, Toulouse, France"
1025,"Reina Sofía University Hospital, Córdoba, Spain"
1026,"Reliant Medical Group, Worcester, Massachusetts, United States"
1027,"Ren Ji Hospital, School of Medicine, Shanghai Jiao TongUniversity,, Shanghai, Shanghai, China"
1028,"Renmin Hospital of Wuhan University (East Campus), Wuhan, Hubei, China"
1029,"Renmin Hospital of Wuhan University, Wuhan, Hubei, China"
1030,"Rennes, Rennes, France"
1031,"Reproductive Medicine Center, The affiliated Drum Towel Hospital of Nanjing University Medical School, Nanjing, Jiangsu, China"
1032,"Research Center for Gastroenterology and Liver Diseases, Tehran, Iran, Islamic Republic of"
1033,"Research center of Gastroenterology and Liver Disease, Tehran, Iran, Islamic Republic of"
1034,"Ribeirão Preto Medical School, Ribeirao Preto, Sao Paulo, Brazil"
1035,"Richmond Bone and Joint Clinic, Memorial Hermann Medical Group, Richmond, Texas, United States"
1036,"Rigshospitalet University Hospital Copenhagen, Copenhagen, Denmark"
1037,"Rigshospitalet, Copenhagen, DK, Denmark"
1038,"Rochester General Hospital, Rochester, New York, United States"
1039,"Rochester Institute for Digestive Diseases, Rochester, New York, United States"
1040,"Rocky Mountain Associates in Orthopedic Medicine, P.C., Loveland, Colorado, United States"
1041,"Rocky Mountain Cancer Center, Denver, Colorado, United States"
1042,"Rocky Mountain MS Clinic, Salt Lake City, Utah, United States"
1043,"Roswell Park Cancer Institute, Buffalo, New York, United States"
1044,"Roswell Park, Buffalo, New York, United States"
1045,"Rothman Orthopaedic Institute, Egg Harbor Township, New Jersey, United States"
1046,"Royal Adelaide Hospital, Adelaide, South Australia, Australia"
1047,"Royal Brisbane Hospital, Herston, Australia"
1048,"Royal Brisbane Hospital, Herston, Queensland, Australia"
1049,"Royal Melbourne Hospital, Melbourne, Victoria, Australia"
1050,"Royal Melbourne Hospital, Parkville, Victoria, Australia"
1051,"Royal Perth Hospital, Perth, Western Australia, Australia"
1052,"Royal Prince Alfred Hospital, Camperdown, New South Wales, Australia"
1053,"Royan Institute, Tehran, Iran, Islamic Republic of"
1054,"Ruby Hall clinic, Pune, Maharashtra, India"
1055,"Ruijin Hospital Shanghai Jiao Tong University School of Medicine, Shanghai, Shanghai, China"
1056,"Ruijin Hospital, Medical School of Shanghai Jiaotong University, Shanghai, Shanghai, China"
1057,"Rumah Sakit Universitas Indonesia, Depok, Jawa Barat, Indonesia"
1058,"Rush University Medical Center, Chicago, Illinois, United States"
1059,"Río Hortega University Hospital, Valladolid, Valladid, Spain"
1060,"S. Orsola-Malpighi Hospital, Bologna, BO, Italy"
1061,"SAHZU, Hanzhou, Zhejiang, China"
1062,"SAL Hospital and Medical Institute, Ahmedabad, Gujarat, India"
1063,"SBÜ Dr. Sadi Konuk Eğitim ve Araştırma Hastanesi, Istanbul, Turkey"
1064,"SC Clinical Research, Garden Grove, California, United States"
1065,"SGPGI Lucknow, Lucknow, Uttar Pradesh, India"
1066,"SMG-SNU Boramae Hospital, Seoul, Korea, Republic of"
1067,"SMG-SNU Boramae Medical Center, Seoul, Korea, Republic of"
1068,"SMG-SNU Boramae Medical Center, Seoul, Seoulteukbyeolsi, Korea, Republic of"
1069,"SMS Medical college and Hospital, Jaipur, Rajasthan, India"
1070,"SRH Klinikum Karlsbad- Langensteinbach GmbH, Interdisziplinäres Gefäßzentrum Innere Medizin, Karlsbad, Germany"
1071,"SRH Wald-Klinikum Gera GmbH, Zentrum für Klinische Studien, Gera, Germany"
1072,"Sahyadri Speciality Hospital, Pune, Maharashtra, India"
1073,"Saint Louis Center for Clinical Research, Saint Louis, Missouri, United States"
1074,"Saint Louis Hospital, APHP, Paris, France"
1075,"Saint-Louis Hospital, Paris, France"
1076,"Samsung Medical Center, Seoul, Gangnam-gu, Korea, Republic of"
1077,"Samsung Medical Center, Seoul, Korea, Republic of"
1078,"Samsung medical center, Seoul, Korea, Republic of"
1079,"Sanford Health, Fargo, North Dakota, United States"
1080,"Sanford Health, Sioux Falls, South Dakota, United States"
1081,"Sanford Research, Sioux Falls, South Dakota, United States"
1082,"Santa Casa de Misericórdia da Bahia (Hospital Santa Izabel), Salvador, BA, Brazil"
1083,"Saraiva & Berlinger Ltda. - EPP (IPECC), Campinas, SP, Brazil"
1084,"Sarasota Arthritis Research Center, Sarasota, Florida, United States"
1085,"Sarasota Memorial Health Care System (SMH), Sarasota, Florida, United States"
1086,"Sardjito Hospital, Yogyakarta, Special Region, Indonesia"
1087,"Scarpone Sports Regenerative, Steubenville, Ohio, United States"
1088,"School of Dentristry at Shahid Beheshti University of Medical Sciences, Tehran, Iran, Islamic Republic of"
1089,"Scott Medical Health Center, Pittsburgh, Pennsylvania, United States"
1090,"Scripps Whittier Diabetes Institute, La Jolla, California, United States"
1091,"Seattle Gastroenterology Associates, Seattle, Washington, United States"
1092,"Second Affiliated Hospital, School of Medicine, Zhejiang University, Hangzhou, Zhejiang, China"
1093,"Seconda Università degli Studi di Napoli, Napoli, Italy"
1094,"Section of Colon and Rectal Surger, Department of Surgery, Yonsei University College of Medicine, Seoul, Korea, Republic of"
1095,"Selayang Hospital, Kuala Lumpur, Selangor, Malaysia"
1096,"Selbststandige Abteilung fur Hamatologie und Internistische Onkologie, Leipzig, Saxony, Germany"
1097,"Semmelweis Egyetem - Városmajori Szív- és Érgyógyászati Klinika, Budapest, Hungary"
1098,"Seoul Natinoal Univetsity Hospital, Seoul, Korea, Republic of"
1099,"Seoul Nation University Bundang Hospital, Gyeonggi-do, Korea, Republic of"
1100,"Seoul National University College of Medicine, Seoul, Korea, Republic of"
1101,"Seoul National University Hospital, Seoul, Jongno-gu, Korea, Republic of"
1102,"Seoul National University Hospital, Seoul, Korea, Republic of"
1103,"Seoul National University Hospital, Seoul, Seoulteukbyeolsi, Korea, Republic of"
1104,"Seoul National University Seoul, Seoul, Korea, Republic of"
1105,"Seoul ST. Mary's hospital, Seoul, Korea, Republic of"
1106,"Seoul St. Mary's Hospital, College of Medicine, The Catholic University of Korea, Seoul, Korea, Republic of"
1107,"Seoul St. Mary's Hospital, Seoul, Korea, Republic of"
1108,"Seoul St. Mary's hospital, Seoul, Korea, Republic of"
1109,"Seoul Veterans Hospital, Seoul, Korea, Republic of"
1110,"Seoul national University Hospital, Seoul, Jongno-gu, Korea, Republic of"
1111,"Serdang Hospital, Kuala Lumpur, Selangor, Malaysia"
1112,"Service de Réanimation Médicale, Hôpital Bocage, Dijon, France"
1113,"Service de Réanimation Médicale, Hôpital Central, Nancy, France"
1114,"Servicio de Cirugía Ortopédica y Traumatología ""A"", Hospital La Paz, Madrid, Spain"
1115,"Servicio de Neumología, Clínica Universidad de Navarra, Pamplona, Navarra, Spain"
1116,"Servicio de Neumología. Hospital Universitario de Salamanaca, Salamanca, Spain"
1117,"Servizio di Immunoematologia e Medicina Trasfusionale, Bologna, Italy"
1118,"Seth G. S. Medical College and KEM Hospital, Mumbai, Maharashtra, India"
1119,"Severance Hospital, Seodaemun-Gu, Seoul, Korea, Republic of"
1120,"Severance Hospital, Seoul, Korea, Republic of"
1121,"Severance Hospital, Yonsei University College of Medicine, Seoul, Korea, Republic of"
1122,"Shaanxi Provincial People's Hospital, Xi Ail, Shaanxi, China"
1123,"Shafran Gastroenterology Center, Winter Park, Florida, United States"
1124,"Shahid Beheshti University of Medical Sciences, Tehran, Iran, Islamic Republic of"
1125,"Shandong Jiaotong Hospital, Jinan, Shandong, China"
1126,"Shanghai Changzheng Hospital, Shanghai, Shanghai, China"
1127,"Shanghai East Hospital, Shanghai Tongji University, Shanghai, China"
1128,"Shanghai East Hospital, Shanghai Tongji University, Shanghai, Shanghai, China"
1129,"Shanghai East Hospital, Shanghai, Pudong New Area, China"
1130,"Shanghai First Maternity and Infant Hospital, Shanghai, Shanghai, China"
1131,"Shanghai General Hospital, Shanghai, China"
1132,"Shanghai General Hospital, Shanghai, Shanghai, China"
1133,"Shanghai Jiao Tong University Affiliated Sixth People's Hospital, Shanghai, Shanghai, China"
1134,"Shanghai Jiaotong University School of Medicine, Renji Hospital, Shanghai, China"
1135,"Shanghai Liver Disease Research Center, the Nanjing Military Command (Shanghai 85 Hospital), Shanghai, Shanghai, China"
1136,"Shanghai Ninth People's Hospital, Shanghai JiaoTong University School of Medicine, Shanghai, China"
1137,"Shanghai Renji Hospital, Shanghai, China"
1138,"Shanghai Sixth People's Hospital, Shanghai, China"
1139,"Shanghai Sixth People's Hospital, Shanghai, Shanghai, China"
1140,"Sharee Zedek MC, Jerusalem, Israel"
1141,"Sheba MC, Tel Hashomer, Israel"
1142,"Shepherd Center, Atlanta, Georgia, United States"
1143,"Sholahuddin Rhatomy, Sleman, Yogyakarta, Indonesia"
1144,"Sinai Hospital of Baltimore / Rubin Institute for Advanced Orthopedics, Baltimore, Maryland, United States"
1145,"Sir Run Run Shaw hopital,School of medicine,Zhejiang University, Hangzhou, China"
1146,"Siriraj Hospital Mahidol University, Bangkoknoi, Bangkok, Thailand"
1147,"Site 550: University of Hassanudin/ Dr. Wahidin Sudirohusodo Hospital, Makassar, Indonesia"
1148,"Soffer Health Institute, Aventura, Florida, United States"
1149,"Sohag University Hospital, Sohag, Egypt"
1150,"Son Espases, Palma de Mallorca, Spain"
1151,"Soonchunhyang University Hospital, Bucheon, Korea, Republic of"
1152,"Soonchunhyang University Hospital, Cheonan, Korea, Republic of"
1153,"Soonchunhyang University Hospital, Seoul, Korea, Republic of"
1154,"Soonchunhyang University Hosptial Bucheon, Bucheon, Gyenggi-do, Korea, Republic of"
1155,"Soonchunhyang University Seoul Hospital, Seoul, Korea, Republic of"
1156,"Source Healthcare, Santa Monica, California, United States"
1157,"South Ural State Medical University, Chelyabinsk, Chelyabinsk Oblast, Russian Federation"
1158,"Southern California Hospital at Culver City / Southern California Hospital at Hollywood / Multiple US-based Sub-Investigator Sites, Culver City, California, United States"
1159,"Southern California Hospital at Culver City / Southern California Hospital at Hollywood, Culver City, California, United States"
1160,"Southern Clinical Research Pty Ltd, Hobart, Tasmania, Australia"
1161,"Southwest General Health Center, Cleveland, Ohio, United States"
1162,"Southwest Hospital, Army Medical University (Third Military Medical University), Chongqing, Chongqing, China"
1163,"Spartanburg Medical Research, Spartanburg, South Carolina, United States"
1164,"Sri Ganga Ram Hospital, New Delhi, India"
1165,"St George Hospital, Kogarah, New South Wales, Australia"
1166,"St Louis Center for Clinical Studies, Saint Louis, Missouri, United States"
1167,"St Luke's Research, Boise, Idaho, United States"
1168,"St Vincents Hospital, Sydney, New South Wales, Australia"
1169,"St. Francis Cancer Center, Indianapolis, Indiana, United States"
1170,"St. Francis Hospital, Indianapolis, Indiana, United States"
1171,"St. Francis Medical Center, Lynwood, California, United States"
1172,"St. Josefskrankenhaus Heidelberg GmbH; Klinische Studienabteilung, Heidelberg, Germany"
1173,"St. Joseph Hospital Heritage, Fullerton, California, United States"
1174,"St. Jude Children's Research Hospital, Memphis, Tennessee, United States"
1175,"St. Louis Center for Clinical Studies, Saint Louis, Missouri, United States"
1176,"St. Luke's Boise, Boise, Idaho, United States"
1177,"St. Michael's Hospital, Toronto, Ontario, Canada"
1178,"St. Vincent's Hospital, Darlinghurst, Australia"
1179,"St.Olav university hospital, Trondheim, Trøndelag, Norway"
1180,"Stanford University Medical Center, Stanford, California, United States"
1181,"Stanford University School of Medicine (Falk Cardiovascular Research Center), Stanford, California, United States"
1182,"Stanford University School of Medicine, Redwood City, California, United States"
1183,"Stanford University School of Medicine, Stanford, California, United States"
