,Outcome Measures,count,enrolled
457,C-peptide area under the concentration curve (AUC) response (MMTT)|Peak C-peptide response (MMTT)|Basal C-peptide response|Total daily insulin dose (units/kg)|Glycosylated hemoglobin (HbA1c) levels|Number of severe and documented hypoglycemic events|Changes in levels of glutamic acid decarboxylase (GAD) or islet antigen 2 (IA-2) autoantibodies,1,63
458,"Alveolar bone filling rate|Serious adverse events|Non serious adverse events|Bone Tissue Engineering With Dental Pulp Stem Cells for Alveolar Cleft Repair|Position of the canine tooth and formation of dental root|Patient-reported outcome (PRO, including appearance, fuction and quality of life)",1,62
459,Correlation between NF-кB dependent-proinflammation markers and osteoblast-specific gene expression in the MSC to measure the effects of NF-кB dependent-proinflammation on differentiation potential toward osteoblast in type 2 diabetes.|Correlation between NF-кB dependent-proinflammation markers and apoptotic marker expression in the MSC to measure effects of NF-кB dependent-proinflammation on cellular apoptosis in type 2 diabetes.|Correlation between NF-кB dependent-proinflammation markers and the expression of RAGE and its downstream signals in the MSC to measure effects of NF-кB dependent-proinflammation on cellular RAGE activation in type 2 diabetes.,1,75
460,Two Co-Primary Efficacy Endpoints|Secondary Efficacy Endpoints|Secondary Safety Endpoints,1,75
461,Gut microbiome composition|Infectious complications after transplantation|Organ or tissue rejection,1,90
462,Healing time|Wound shrinkage rate,1,76
463,LVEF amount of change|Infarct size amount of change|Left ventricle end systolic size change|Left ventricular end-diastolic size change|Incidence of critical heart events|Heart rate variability change amount|Left ventricular local wall movement disorder index change|N-terminal pro-brain natriuretic peptide (NT-proBNP) change,1,90
464,Complication rate after treatment administration|Evaluation of vascularization though RMN|Rutherford-Becker scale|Wifi scale|Ankle arm index|Temperature|Twin perimeter|Neuropathic symptoms (altered sensitivity)|% amputations,1,90
465,"Relief of the rest pain|Healing of ulcerations or reduction of ulcer area in the target limb|Pain free walking distance|Major amputation free survival|Ankle brachial pressure index (ABPI) - measured by Doppler|Increase in transcutaneous partial oxygen pressure (TcPO2)|Quality of life by King's College VascuQOL questionnaire|Angiogenesis - collateral blood vessels by Magnetic resonance angiogram (MRA)|The type of adverse events AE(s), number of AE(s) and proportion of patients with AE(s).|Assessment of clinical laboratory parameters|Physical examination findings and assessment of vital signs|Assessment of electrocardiogram (ECG) parameters",1,90
466,Vancouver Scar Scale score|Erythema|Pigmentation|Scar Thickness and Uniformity|Subject's satisfaction,1,90
467,Change of Vancouver Scar Scale (VSS)|Wound healing status|Erythema measured by reflectance|Pigmentation measured by reflectance|Scar Thickness and Uniformity|Change of scar area|Immunoglobulin concentrations in breast milk|Subject's satisfaction|Adverse events occurrence,1,90
468,Antral follicular count (AFC) serum levels|anti-Müllerian hormone (AMH) serum levels|Regular menstruation and/or pregnancy,1,86
469,Proportion of patients requiring secondary intervention because of delayed union or nonunion within twelve month post fracture.|Relation between the number of the progenitor available injected with concentrated bone marrow aspirated and the rate of bone union.|Comparison of the rate of complications between the 2 groups.|Economic impact study.,1,85
470,Event-free survival|Percentage change of a patient's iscorEB|Transplant-related mortality|Quality of life|Lymphoid Chimerism|Myeloid Chimerism,1,84
471,Change in mean total hair density (hair/cm2)|Compare visual assessment before and after cosmetic treatment|Change in mean Telogen hair density|Change in mean Anagen hair density|Change in hair growth speed|Change in hair diameter,1,84
472,Crohn's disease activity index|Harvey-Bradshaw index|Corticosteroid dosage,1,82
473,Progression-free survival|Time to fall in FEV1 > 10%|Freedom from Bronchiolitis Obliterans Syndrome (BOS) grade 3|All cause mortality|CLAD-specific mortality|Freedom from acute rejection|Freedom from the development of new donor specific anti-HLA antibodies|Freedom from CLAD progression|Rate of FEV1 decline|Rate of FVC decline|Change in 6-minute walk distance (6MWD)|Change in St George's Respiratory Questionnaire (SGRQ) Score|Inpatient bed-days,1,82
474,Clinical response at Week 24 as defined by the SLE Responder Index (SRI):|Change in SLEDAI score between groups|Renal and non-renal organ system flares|Changes in SLICC-DI|Changes in HR-QOL|Changes in Fatigue|Changes in Pain|Changes in Depression|Changes in patient-reported lupus-specific disease status|Steroid-sparing effect|Cumulative systemic steroid dose|Changes in the presence of serum and urine biomarkers of SLE activity:,1,81
475,The incidence of serious adverse events.|Number to patients with All-Cause Mortality at 28 days|Ventilator-free days at 28days|Change in partial pressure of arterial oxygen to fraction of inspired oxygen (PaO2/FiO2) ratio from pre-infusion baseline(Day 0)to Day 7.PaO2 may be calculated from arterial blood gas (ABG)or imputed from the SpO2daily.,1,81
476,"Incidence of Treatment-Emergent Adverse Events (Safety Evaluation)|Imaging indicator: Quantitative analysis of CT density histograms|Clinical Indicator 1: change in blood gas analysis|Clinical Indicator 2: change in MRC chronic dyspnea scale|Clinical Indicator 3: change in St. George's Respiratory Questionnaire (SGRQ) scale|Immunological Indicator in serum : response level of CD4+ T lymphocyte subsets (Th1/Th2/Th17)|Immunological Indicator in lavage fluid : response level of CD4+ T lymphocyte subsets (Th1/Th2/Th17)|Immunological Indicator in serum : expression levels of various cytokines including TNF-α, IL1-β, MIP-1α, TIMP1, PDGF|Immunological Indicator in lavage fluid: expression levels of various cytokines including TNF-α, IL1-β, MIP-1α, TIMP1, PDGF|Fibrosis Indicators in serum: expression levels of TGF-β1, hydroxyproline, MMP2, MMP9|Fibrosis Indicators in lavage fluid: expression levels of TGF-β1, hydroxyproline, MMP2, MMP9|self-evaluation",1,80
477,ADAS-Cog (Alzheimer's Disease Assessment Scale-cognitive subscale)|MMSE (Mini-mental status examination)|C-SSRS (Columbia Suicide Severity Rating Scale)|NPI (Neuropsychiatric Inventory)|ADCS-CGIC (Alzheimer's Disease Cooperative Study-Clinical Global Impression of Change)|Treatment related Adverse Events,1,80
478,The difference in the renal function between the two groups (MSC treatment group vs placebo control group) within 28 days after receiving MSC/ placebo treatment|Overall survival within 28 days after receiving MSC/ placebo treatment|Overall survival within 3 months after receiving MSC/ placebo treatment|Renal replacement therapy (RRT) dependent within 3 months after receiving MSC/ placebo treatment|Complete renal recovery within 3 months after receiving MSC/ placebo treatment|Partial renal recovery within 3 months after receiving MSC/ placebo treatment|ICU and hospitalization duration of stay among all AKI patients within 3 months after receiving MSC/ placebo treatment|Adverse events within 3 months after receiving MSC/ placebo treatment,1,80
479,The improvement of the fusion of the posterolateral fusion measured on X-rays|The improvement of the fusion of the posterolateral fusion measured on X-rays and CT scans.,1,80
480,Absolute changes in global LVEF by SPECT|Changes in left ventricular end-diastolic volume (LVEDV)|Changes in left ventricular end-systolic volume (LVESV)|Changes in regional wall motion score index (WMSI) by Echocardiography|Major adverse cardiac event (MACE),1,80
481,Changes in Visual Analog Scale of Neurological Symptoms. - Extreme fatigue|Changes in Visual Analog Scale of Neurological Symptoms. - Brain fog|Changes in Visual Analog Scale of Neurological Symptoms. - Headache|Changes in Visual Analog Scale of Neurological Symptoms. - Sleep disturbances|Changes in Visual Analog Scale of Neurological Symptoms. - Loss of taste|Changes in Visual Analog Scale of Neurological Symptoms. - Loss of smell|Incidence of treatment-emergent Adverse Event (TEAEs).|Incidence of treatment-emergent Serious Adverse Events (SAEs).|AEs of special interest (serious or non-serious) - thromboembolic events.|AEs of special interest (serious or non-serious) - thromboembolism of the extremities.|AEs of special interest (serious or non-serious) - infections.|AEs of special interest (serious or non-serious) - hypersensitivities.|Changes in Laboratory values. - CBC.|Changes in Laboratory values. - CMP.|Changes in Laboratory values. - Coagulation Panel.|Changes in Vital Signs. - Respiratory Rate (breaths per minute)|Changes in Vital Signs. - Heart Rate (beats per minute)|Changes in Vital Signs. - Body Temperature (Fahrenheit )|Changes in Vital Signs. - Blood Pressure (mmHg)|Changes in Weight in lb.|Changes in Physical examination results. - General|Changes in Physical examination results. - Body Systems|Changes in Subject's energy - Fatigue Assessment form.|Changes in Visual Analog Scale of non -Neurological Symptoms. - Dyspnea a rest|Changes in Visual Analog Scale of non -Neurological Symptoms. - Dyspnea with activity|Changes in Visual Analog Scale of non -Neurological Symptoms. - Cough|Changes in Visual Analog Scale of non -Neurological Symptoms. - Body aches|Changes in Visual Analog Scale of non -Neurological Symptoms. - Joint pain|Changes in Subject's quality of life - Short Form 36 Health Survey Questionnaire|Changes in Subject's level of depression - PHQ 9 scale.,1,80
482,Safety/efficacy,1,80
483,Gross Motor Function|Cognitive Function|Chemical Marker,1,78
484,Percentage of Participants who Achieve Complete Response (CR) or Partial Response (PR) (i.e. Overall Response Rate [ORR])|Percentage of Participants who Achieve Complete Response (CR) or Partial Response (PR) (i.e. Overall Response Rate [ORR]).|Organ-specific Assessments|Patient-Reported Outcomes|Clinician-Assessed Global Rating/Scale|Failure-free Survival,1,77
485,Change in UMSARS total (= UMSARS I + UMSARS II) score|Change in UMSARS I score|Change in UMSARS II score|Change in modified UMSARS score|Change in COMPASS select score|Rate of atrophy of selected brain regions,1,76
486,"The incidence of any treatment-emergent serious adverse event (TE-SAE), defined as one or more of the following untoward medical occurrences within 30 days after infusion as assessed by the following:|The ability of Lomecel-B (LMSC) treatment to improve inactivation of influenza virus as assessed by validated hemagglutination inhibition (HAI) assays.|Changes from baseline between the LMSC and placebo cohorts as assessed by plasma cytokine levels:|Differences in rate of decline from Aging Frailty|Assessed by the Falls Efficacy Scale-International and Performance Oriented Mobility Assessment|PROMIS Short Form 20a questionnaire|PROMIS Mobility questionnaire|PROMIS Upper Extremity questionnaire|Short Form 36 questionnaire|IIEF questionnaire|SQOL-F questionnaire|Death from any cause|Falls Efficacy Scale-International (FES-I)|Changes from baseline between the LMSC and placebo cohorts as assessed by B & T cell levels:|Rate of decline in Aging Frailty status as assessed by the 6 minute walk test|Rate of decline in Aging Frailty status as assessed by the Short Physical Performance Battery (SPPB)|Rate of decline in Aging Frailty status as assessed by the Tinetti POMA Test|Rate of decline in Aging Frailty status as assessed by the Weight Loss|Rate of decline in Aging Frailty status as assessed by the Handgrip Test",1,62
487,Number of Participants with Adverse Events (AEs)|Change from Baseline in Pulmonary Function Test: Forced Expiratory Volume (FEV)1 at Year 1 and Year 2|Change from Baseline in Pulmonary Function Test: Forced Expiratory Volume (FEV)1 %predicted at Year 1 and Year 2|Change from Baseline in Pulmonary Function Test: Forced Vital Capacity (FVC) at Year 1 and Year 2|Change from Baseline in Pulmonary Function Test: Forced Vital Capacity (FVC) %predicted at Year 1 and Year 2|Change from Baseline in Pulmonary Function Test: Forced Expiratory Volume to Forced Vital Capacity Ratio (FEV1/FVC) at Year 1 and Year 2|Change from Baseline in Diffusing capacity of the lung for carbon monoxide (DLCO) at Year 1 and Year 2|Change from Baseline in Diffusing capacity of the lung for carbon monoxide (DLCO) %predicted at Year 1 and Year 2|Change from Baseline in Alveolar Volume (VA) at Year 1 and Year 2|Change from Baseline in Diffusing capacity of the lung for carbon monoxide to Alveolar Volume ratio (DLCO/VA)at Year 1 and Year 2|Change from Baseline in Functional residual capacity (FRC) at Month 6|Change from Baseline in Total Lung Capacity (TLC) at Month 6|Change from Baseline in Residual Volume (RV) at Month 6|Change from Baseline in Airway Resistance (RAW) at Month 6|Change from Baseline in 6-Minute Walk Test at Year 1 and Year 2|Change from Baseline in Borg Dyspnea Scale at Year 2|Change from Baseline in Health-related quality of life: St George's Respiratory Questionnaire (SGRQ) at Year 1 and Year 2|Change from Baseline in Physician Global Assessment Scale at Year 1 and Year 2|Time to COPD Exacerbation|Number of COPD Exacerbations|Change from Baseline in Pulmonary Hypertension at Month 6|Change from Baseline in Systemic Inflammation at Year 1 and Year 2,1,62
488,"Respiratory outcome: readmission rate and duration of the hospital stay due to respiratory infection|Whether the subject is receiving medical treatments and if so, duration of the treatment (use of oxygen, steroid, or brochodilator)|Number of admissions to Emergency Room|Survival|Growth measured by Z-score|Neurological developmental status on K-ASQ, Bayley Scale, Gross Motor Function Classification System (GMFCS) for Cerebral Palsy|Deafness or Blindness|Number of adverse events|Significant changes in vital signs|Significant changes in physical exam",1,62
489,Primary objective of the study is to assess the safety and tolerability of MPC therapy,1,61
490,"The primary objective of this study is to evaluate the feasibility and safety of transendocardial injection using mapping Catheter with the Left Ventricular Injection Catheter of 25 M, 75 M, and 150 M allogeneic MPCs in subjects with heart failure.|The secondary objectives are to explore functional efficacy for subsequent study design.",1,60
491,Safety of intravenously infused UCT-MSC suspension|Pulmonary function test to evaluate the improvement of respiratory function|Radiography to evaluate the improvement of respiratory function|6-minute walk to evaluate the improvement of respiratory function|Decrease on days of non-invasive mechanical ventilation|Biochemical tests to evaluate the improvement of laboratory parameters|Blood count to evaluate the improvement of laboratory parameters|Viral load to evaluate the improvement of laboratory parameters|Cytokine dosage to evaluate inflammatory parameters|Decrease in hospital stay|Computed tomography score to evaluate the improvement of pulmonary function|Reduction in the percentage of intubated patients|Decrease in mortality,1,60
492,"Incidence of Dose Limiting Toxicity (DLT)|Incidence of Dose Limiting Toxicity (DLT), suspected adverse reaction (SAR), or serious adverse event (SAE)|Treatment-emergent adverse events (AE) and serious adverse events (SAE)|Levels of COVID-19 related ARDS as defined by the Berlin Definition of ARDS|Changes from baseline pulse oximetric saturation SpO2/FiO2 ratio or arterial oxygen pressure pAO2/FiO2 ratio|Number of ventilator-free days (VFD)|Changes in Complete Blood Count (CBC) with differential from baseline|Changes in levels of blood glucose (mg/dL) from baseline|Changes in levels of sodium (mEq/L) from baseline|Changes in levels of potassium (mEq/L) from baseline|Changes in levels of blood urea nitrogen (BUN; mg/dL) from baseline|Changes in levels of alanine transaminase (ALT; U/L) from baseline|Change in Urinalysis (UA) from baseline",1,60
493,Change in 6-Minute Walk Distance (6MWD) at Day 60|Change in 6MWD at Day 30|Relief of symptoms on Day 30 and Day 60|Change in Pulmonary Function|Change in oxygenation|Change in biomarker levels,1,60
494,Numbers of Patients Occurred Pre-specified Infusion Associated Events Occurring Within 6 Hours of Study Infusion|Numbers of Patients Occurred Any Cardiac Arrest or Death Within 24 Hours of Study Infusion|Numbers of Patients Occurred Any Unexpected Severe Adverse Events (Including All-cause Deaths)|PaO2:FiO2 Change From Baseline to Day 3|Lung Injury Score From Baseline to Day 3|Oxygenation Index Change From Baseline to Day 2|SOFA Score Change From Baseline to Day 3|Number of Patients Death to Day 28|Mortality to Day 60|Number of Ventilator-free Days to Day 28|Non-pulmonary Organ-failure-free Days to Day 28|Angiopoietin 2 Change From Baseline to 6 h|Angiopoietin 2 Change From Baseline to 24 h|Interleukin 6 Change From Baseline to 6 h|Interleukin 6 Change From Baseline to 24 h|Interleukin 8 Change From Baseline to 6 h|Interleukin 8 Change From Baseline to 24 h|RAGE Change From Baseline to 6 h|RAGE Change From Baseline to 24 h,1,60
495,Number of Adverse Events|Change in slope of ALS Functional Rating Scale - Revised (ALSFRS-R),1,60
496,Respiratory outcome: Number of hospitalizations|Mortality|Growth measured by Z-score|Neurological developmental status: Korean Developmental Screening Test for infants and children(K-DST)|Deafness or Blindness|Bayley Scales of Infant and Toddler Development (Third Edition)|Gross Motor Function Classification System for Cerebral Palsy|Number of adverse events|Number of admissions to Emergency Room (ER)|Medical treatment records,1,60
497,Improvements in left ventricular function|Clinical improvements,1,59
498,Proportion of re-epithelialization|Time to re-epithelialization|Number of Participants with Adverse Events as a Measure of Safety and Tolerability,1,59
499,Dose limiting Adverse events|Severe infusion reactions|Grade 2 elevated creatinine,1,58
500,Maximum tolerated dose (MTD) (Phase I)|Number and severity of adverse events (Phase I)|Overall toxicity incidence (Phase I)|Toxicity profiles by dose level and patient (Phase I)|Proportion of patients alive at 12 months (Phase II)|Tumor response (Phase II)|Rate of progression free survival (Phase II)|Overall survival (Phase II)|Progression free survival (Phase II)|Maximum grade for each type of toxicity (Phase II),1,57
501,"Proportions of subjects who achieved complete wound closure|Time to initial complete wound closure between the two groups|Changes in wound size compared to baseline between the two groups|Proportions of subjects who achieved complete wound closure by the classification of location of diabetic foot ulcer, Plantar and the other location between the two groups|Durability of complete wound closure",1,56
502,Incidence of hospitalization for COVID-19|Incidence of symptoms for COVID-19|absence of upper/lower respiratory infection|Glucose|Calcium|Albumin|Total Protein|Sodium|Total carbon dioxide|Potassium|Chloride|BUN|Creatinine|Alkaline phosphatase|Alanine aminotransferase|Aspartate aminotransferase|Total bilirubin|White blood cells|Red blood cells|Hemoglobin|Hematocrit|Mean corpuscular volume|Mean corpuscular hemoglobin|Mean corpuscular hemoglobin concentration|Red cell distribution width|Neutrophils|Lymphs|Monocytes|Eos|Basophils|Absolute neutrophils|Absolute lymphs|Absolute monocytes|Absolute eosinophils|Absolute basophils|Immature granulocytes|Absolute Immature granulocytes|Platelets|Prothrombin time|INR|TNFalpha|Interleukin-6|Interleukin-10|C-reactive protein|SF-36|PHQ-9,1,56
503,Comparison of treatment adverse event rates|Concomitant Medications|Visual Analog Scale,1,55
504,"Measure and report the number of participants with treatment-related-adverse events as assessed by CTCAE v4.0; for patients receiving ARDOXSO™, perinatal MSC-derived exosome therapy.|Tabulate and report the number of IMV days for patients receiving ARDOXSO™ perinatal MSC-derived exosome therapy.|Analyze and report organ failure, associated with ICU mortality in participants confirmed with SARS-CoV2 infection, receiving ARDOXSO™ as an interventional exosome therapy.|Record and analyze respiratory measures (Berlin Score/PEEP) following treatment regime.",1,55
505,Macro and micro structural properties of grey matter (GM) and white matter (WM) regions will measured using high-resolution anatomical MRI and diffusion tensorm imaging and comparisons made between groups.|Brain imaging measures of GM and WM structural integrity will be compared to functional and neurocognitive scores and comparisons made between groups.|Compare neuro-inflammatory biomarkers between groups..|Measure the number of participants with infusion related adverse events.|Measure spleen ultrasound size over time and corresponding changes in inflammatory cytokines.|Determine if microglial activation is associated with TBI and can be accurately measured with brain PET and DT-MRI imaging when compared to PET imaging data from healthy volunteers (enrolled under a different protocol).|Quantify the extent and location of microglial activation by brain PET imaging and how activity correlates with performance of neurocognitive outcomes measures.|Determine the extent to which an IV infusion of autologous BMMNC post-injury impacts microglial activation by brain PET imaging.,1,55
506,Incidence of hospitalization for COVID-19|Incidence of symptoms associated with COVID-19|Absence of upper/lower respiratory infection|Leukocyte differential|C Reactive protein|TNF alpha|IL-6|IL-10|Glucose|Calcium|Albumin|Total protein|Sodium|Total carbon dioxide|Potassium|Chloride|BUN|Creatinine|Alkaline phosphatase|Alanine aminotransferase|Total bilirubin|white blood cells|red blood cells|hemoglobin|hematocrit|mean corpuscular volume|mean corpuscular hemoglobin|mean corpuscular hemoglobin concentration|red cell distribution width|neutrophils|Lymphs|Monocytes|Eosinophils|Basophils|Absolute neutrophils|Absolute lymphs|Absolute monocytes|Absolute eosinophils|Absolute basophils|Immature granulocytes|Platelets|Prothrombin time|INR|SF-36|PHQ-9,1,55
507,"Overall Response Rate (ORR) at Day 28 Post Initiation of Therapy|Overall Survival (OS) Rate at Day 100 Post Initiation of Therapy|OS Rate at Day 100 Post Initiation of Therapy, Stratified by Responder Status at Day 28|OS Rate at Day 100 Post Initiation of Therapy, Stratified by Baseline aGVHD Grade|OS Rate at Day 100 Post Initiation of Therapy, Stratified by Organ Involvement|OR Rate at Day 56 and 100 Post Initiation of Therapy",1,55
508,Safety of the placenta-derived mesenchymal stem cell (PMSC-ECM) Product|Efficacy of the PMSC-ECM Product,1,55
509,Adverse Events and Sever Adverse Events|Efficacy of Celltex AdMSCs,1,54
510,"Safety and tolerability: Adverse events (AEs)|Safety and tolerability: 12-lead electrocardiogram (ECG)|Safety and tolerability: Laboratory examinations|Safety and tolerability: Physical examinations|Safety and tolerability: Vital signs|Preliminary efficacy: Changes in Visual Analogue Scale (VAS) for pain compared to baseline|Preliminary efficacy: Changes in Knee injury and Osteoarthritis Outcome Score (KOOS) compared to baseline|Preliminary efficacy: Change in EuroQoL 5 Dimension 5 Level test (EQ-5D-5L) compared to baseline|Preliminary efficacy: Change in 40 m fast paced walk test compared to baseline|Preliminary efficacy: Change in cartilage structure compared to baseline, based on MRI assessment of cartilage volume and composition|Preliminary efficacy: Change in whole knee health compared to baseline, based on MRI assessment by the MRI Osteoarthritis Knee Score (MOAKS)|Preliminary efficacy: Change in inflammatory activity compared to baseline, based on MRI assessment of synovial thickness and synovial blood flow|Preliminary efficacy: Changes in joint space narrowing based on x-ray compared to baseline",1,54
511,The amount of change in EF score in the International Erectile Function Questionnaire (IIEF) at administration of the clinical trial drug compared to the baseline value|Changes in SEP Q 2 and Q 3 evaluation after administration of investigational drug compared to baseline|Global Assessment Question (GAQ) evaluation after administration of investigational drugs|Changes in Penile Doppler Sonography(PDS) level after administration of clinical trial drug compared to baseline,1,54
512,WOMAC Score(The Western Ontario and McMaster Universities Osteoarthritis Index)|Recording of Adverse Events and Serious Adverse Events,1,53
513,vancouver scale,1,60
514,Adverse events and serious adverse events rate|Rate of clinical significant changes in laboratory|Rate of abnormal neurological physical examination results|Rate of imaging changes|Change of NIHSS scores|Change of BI scores|Change of mRS scores|Change of MMSE scores|Change of GDS scores,1,60
515,Safety of autologous bone marrow-derived Mesenchymal Stem Cells in patients with Drug-Resistant Symptomatic Epilepsy|Efficacy of autologous bone marrow-derived Mesenchymal Stem Cells in patients with Drug-Resistant Symptomatic Epilepsy,1,60
516,"Comparison of treatment adverse event rates between the 0.5, 1.6 and 5.0 million mesenchymal stem cells per kilogram dose cohorts and placebo groups.",1,60
517,Meniscal Volume|Quality of Life Questionnaire|Visual Analog Scale (VAS)|Lysholm Knee Scale|Safety Assessment Adverse Event|Safety Assessment Immunological|Safety Assessment Laboratory|Safety Assessment Physical Exam|Safety Assessment Magnetic Resonance Imaging (MRI),1,60
518,Change in Western Ontario and McMaster Universities Arthritis Index (WOMAC) over 3 months|Change in pain during sit-to-stand over 3 months|Change in pain during supine to upright over 3 months|Change in pain during ascent/decent stairs over 3 months,1,60
519,Increased distance on Six Minute Walk Test (6MWT)|Incidence of Serious Adverse Events (SAEs)|EuroQol-5D (EQ-5D)|Medical Research Council (MRC) Dyspnea Scale,1,60
520,clinical|radiological proof,1,60
521,Osteogenic Potential of Mesenchymal Stem Cells,1,60
522,Kellgren-Lawrence Grading Scale|Assessment of Preoperative Cartilage Defect Severity (AMADEUS)|Lysholm scoring|The international knee documentation committee (IKDC) knee evaluation form|Visual Analogue Scale/Score（VAS）,1,60
523,Primary Outcome Measures:|1.Bacterial clearance rate on the 8th d;|2.Mortality on the 28th and 90th d;|3.Recurrence rate after cure within 28 d;|4.Secondary infection rate of other pathogenic bacteria after cure within 28 d;|5.Duration of mechanical ventilation within 28 d;|6.Length of ICU stay (d) within 28 d;|7.Incidence of adverse reactions at the end of treatment and 28 d after initial treatment.,1,60
524,Number and percentage of patients with adverse events as a measure of safety and tolerability|Change from baseline in the WOMAC OA (Western Ontario and McMaster Universities Osteoarthritis) Index -pain subscale score|Change from baseline in WOMAC OA stiffness index|Change from baseline in WOMAC OA composite index|Change from baseline in ICOAP (Intermittent and Constant Osteoarthritis Pain)|Change from baseline in radiographic (X-ray) findings of knee|Change from baseline in the WORMS score (Whole-Organ Magnetic Resonance Imaging Score) of knee using MRI|Change from baseline in arthritis pain scores on the visual analogue scale|Reduction in the intake of analgesic tablets from baseline,1,60
525,The quantity of mesenchymal stem cells present in the synovial fluid of patients with precollapse ON of the femoral head and postcollapse ON of the femoral head compared to patients without intraarticular hip pathology.,1,60
526,"Changes of oxygenation index (PaO2/FiO2) ,blood gas test|Detection of TNF-α levels, IL-10 levels|Detection of immune cells that secret cytokines, including CXCR3+, CD4+, CD8+, NK+ cells, and regulatory T cells (CD4 + CD25 + FOXP3 + Treg cells).|Changes of c-reactive protein and calcitonin",1,60
527,All-cause mortality rate at Day 28|Incidence of all adverse events (AEs) (safety)|Incidence of treatment-emergent adverse events (safety)|Incidence of severe adverse events (safety)|Incidence of infusion-related adverse events (safety)|All-cause mortality rate at Day 60 and 90|Number of ventilator-free days through Day 28|Number of ICU days through Day 28|Change in clinical status|Change in oxygenation,1,60
528,"1. Changes in the total score MDS-UPDRS Part II.|2. Incidence of treatment-emergent Adverse Event (TEAEs).|3. Incidence of treatment-emergent Serious Adverse Events (SAEs).|4. AEs of special interest (serious or non-serious) - thromboembolic events.|5. AEs of special interest (serious or non-serious) - thromboembolism of the extremities|6. AEs of special interest (serious or non-serious) - infections|7. AEs of special interest (serious or non-serious) - hypersensitivities.|8. Laboratory value Complete Blood Count (CBC)|9. Laboratory values Chemistry Metabolic Panel (CMP)|10. Laboratory values Coagulation Panel; Prothrombin time, Partial Prothrombin time, and INtern|11. Vital signs. - Respiratory Rate (breaths per minute)|12. Vital signs. - Heart Rate (beats per minute)|13. Vital signs. - Body Temperature (Fahrenheit )|14. Vital signs. - Blood Pressure (mmHg)|15. Weight in lb.|16. Physical examination results. General|17. Physical examination results. Body Systems.|18. Changes in Movement Disorder Society Unified Parkinson's Disease Rating Scale -UPDRS Part I.|19. Changes in the total score Movement Disorder Society Unified Parkinson's Disease Rating Scale -UPDRS Part II and Part III.|20. Changes in Movement Disorder Society Unified Parkinson's Disease Rating Scale MDS-UPDRS Part III.|21. Changes in Movement Disorder Society Unified Parkinson's Disease Rating Scale MDS-UPDRS Part IV.|22. Changes in Short Form 36 Health Survey Questionnaire (SF-36).|23. Changes in Parkinson's disease fatigue scale (PFS-16)|24. Changes in Parkinson's disease Questionnaire (PDQ-39).|25. Changes in Visual Analog Scale for Pain.|26. Changes in Visual Analog Scale for Muscle spasms.|27. Changes in Dosage of medications taken to treat Parkinson's disease.",1,60
529,pain|physical activity|walking distance|Imaging,1,60
530,12 month Change in C-peptide area under the curve after a 2-hour MMTT|6 Month Change in C-Peptide area under the curve after a 2-hour MMTT|6 Month peak C-peptide after a 2-hour MMTT|1 year peak C-peptide after a 2-hour MMTT|Change in 24-hour insulin dose per kilogram between baseline and 1 year measurements,1,60
531,Isolation and Expansion of Mesenchymal Stem Cells|Safety and Efficacy Assessment Pre and Post Treatment|Motor Functions Assessments|Measuring Non-motor outcomes to assess treatment efficacy.|Biological Assessments,1,60
532,Incidence and severity of adverse events assessed by CTCAE V5.0 during the twelve-month study period after it-hMSC infusion.|Modified Rankin Scale|National Institute of Health stroke scale|Mini-mental State Examination|Barthel Index|Geriatric Depression Scale,1,60
533,Exercise test|Clinical evaluation,1,60
534,survival after intervention|sequential organ failure assessment score|interleukin-6|The number of allergic reactions|The number of people who get cancer|the effects on kidney function|the effects on liver function|the effects on lung function|the effects on coagulation function|the effects on central nervous system,1,60
535,"Proportion of patients with deep ulcer healing|Proportion of patients with stricture healing|Proportion of patients with complex perianal fistula healing|Safety assessed by the incidence of treatment-emergent adverse events during the study period|Evolution of clinical disease activity index|Evolution of Short health scale (quality of life)|Evolution of the Lemann Index (measuring cumulated intestinal damage in Crohn's disease)|Evolution of the "" Group of Therapeutic Study of Inflammatory Disorders of the Digestive Tube"" obstructive score for Crohn Disease strictures",1,60
536,"Change in proportions of subjects with combined remission of treated perianal fistula between the AVB-114 and standard of care groups.|Change in proportions of subjects with fistula clinical remission between the AVB-114 and standard of care groups.|Change in the means of durability of clinical remission between the AVB-114 and standard of care groups.|Change in means of time to clinical remission between the AVB-114 and standard of care groups.|Change in proportions of subjects with fistula relapse between the AVB-114 and standard of care groups.|Change in means of time to fistula relapse between the AVB-114 and standard of care groups.|Change in proportions of radiologic response of treated fistula between the AVB-114 and standard of care groups.|Change in means of disease activity index scores using the Perianal Disease Activity Index (PDAI) between the AVB-114 and standard of care groups.|Change in means of disease activity index scores using the short Crohn's Disease Activity Index (sCDAI) between the AVB-114 and standard of care groups.|Change in means of patient quality of life assessment scores using the Euroqol 5 Diumention 5, level measure of health status (Eq-5Q-5L) between the AVB-114 and standard of care groups.|Change in means of patient quality of life assessment scores using the Inflammatory Bowel Disease Questionnaire (IBDQ) between the AVB-114 and standard of care groups.|Change in patient assessment of impact to daily functionality related to treated fistula between the AVB-114 and standard of care groups.|Change in the evaluations of patient care trajectory related to treated fistula between the AVB-114 and standard of care groups.|Change in number of adverse events between the AVB-114 and standard of care groups.|Change in number of serious adverse events between the AVB-114 and standard of care groups.",1,60
