,Rank,NCTId,Condition,BriefTitle,InterventionName,OfficialTitle,LocationCity,LocationState,LocationCountry,StartDate
134,135,NCT03608579,"Osteoarthritis, Hip",Autologous Culture Expanded Adipose Derived MSCs for Treatment of Painful Hip OA,Autologous Adipose Derived Mesenchymal Stromal Cells,ASCLEPIOS Autologous Stem CelL Expansion and Prospective Injection for Osteoarthritic Hip Symptoms,Rochester,Minnesota,United States,"November 5, 2018"
135,136,NCT01915927,Perianal Crohn's Disease,Stem Cell Fistula Plug in Perianal Crohn's Disease,MSC-AFP,A Phase 1 Study of Autologous Mesenchymal Stromal Cell Coated Fistula Plug in Patients With Fistulizing Crohn's Disease.,Rochester,Minnesota,United States,July 2013
136,137,NCT02145923,Neutropenic Enterocolitis|Myeloablative Chemotherapy Induced Bone Marrow Aplasia,Effectiveness and Safety of MMSCs for Enhancing Hematopoietic Recovery and Prophylaxis of Neutropenic Enterocolitis,Peripheral blood stem cell mobilisation and collection|High-dose chemotherapy|Bone marrow derived allogeneic MMSCs infusion|Autologous peripheral blood stem cells infusion,Effectiveness and Safety of Intravenous Infusion of Bone Marrow Derived Allogeneic Multipotent Mesenchymal Stromal Cells for Enhancing Hematopoietic Recovery and Prophylaxis of Neutropenic Enterocolitis in Hematological Patients With Aplasia After High-dose Chemotherapy.,Moscow,,Russian Federation,May 2014
137,138,NCT03473301,Cerebral Palsy,A Study of UCB and MSCs in Children With CP: ACCeNT-CP,Infusion of allogeneic umbilical cord blood|Infusion of MSCs,A Phase I/II Study of Allogeneic Umbilical Cord Blood and Umbilical Cord Tissue-Derived Mesenchymal Stromal Cell Infusions in Children With Cerebral Palsy,Durham,North Carolina,United States,"April 10, 2018"
138,139,NCT01909154,Spinal Cord Injury,Safety Study of Local Administration of Autologous Bone Marrow Stromal Cells in Chronic Paraplegia,Mesenchymal stromal cell therapy,"Phase I Pilot Study to Evaluate the Security of Local Administration of Autologous Stem Cells Obtained From the Bone Marrow Stroma, in Traumatic Injuries of the Spinal Cord",Majadahonda,Madrid,Spain,March 2013
139,140,NCT04484077,Autism Spectrum Disorder|Autism,hCT-MSC Infusion in Adults With Autism Spectrum Disorder,hCT-MSC,"A PHASE I STUDY OF hCT-MSC, AN UMBILICAL CORD-DERIVED MESENCHYMAL STROMAL CELL PRODUCT, IN ADULTS WITH AUTISM SPECTRUM DISORDER",Durham,North Carolina,United States,"January 24, 2022"
140,141,NCT02829216,Abnormal Hematopoiesis|Allogenic Disease|Graft vs Host Disease,Graft-versus-host Disease Associated Myelosuppression,,Functional Profiling of the Hematopoietic Stem Cell Niche in Graft Versus Host Disease Mediated Bone Marrow Insufficiency,Dresden,,Germany,April 2016
141,142,NCT02351011,Osteoarthritis of Knee,Human Autologous MSCs for the Treatment of Mid to Late Stage Knee OA,1 x 10^6 MSCs|10 x 10^6 MSCs|50 x 10^6 MSCs,Human Autologous Mesenchymal Stromal Cells for the Treatment of Mid to Late Stage Knee Osteoarthritis,Toronto,Ontario,Canada,February 2015
142,143,NCT00260338,Myocardial Ischemia|Coronary Heart Disease,Stem Cell Therapy for Vasculogenesis in Patients With Severe Myocardial Ischemia,stem cell,Stem Cell Therapy for Vasculogenesis in Patients With Severe Myocardial Ischemia,Copenhagen,,Denmark,December 2005
143,144,NCT02181478,Acute Lymphoblastic Leukemia|Acute Myelogenous Leukemia|Myelodysplastic Syndromes|Myelofibrosis|Relapsed Non-Hodgkin Lymphoma|Refractory Non-Hodgkin Lymphoma|Hodgkin Lymphoma|Refractory Hodgkin Lymphoma|Relapsed Chronic Lymphocytic Leukemia|Refractory Chronic Lymphocytic Leukemia|Lymphoid Malignancies|Chronic Myelogenous Leukemia,Intra-Osseous Co-Transplant of UCB and hMSC,cyclophosphamide|fludarabine phosphate|total-body irradiation|cyclosporine|mycophenolate mofetil|umbilical cord blood transplantation|mesenchymal stem cell transplantation,Intra-osseous Co-transplant of Cord Blood and Mesenchymal Stromal Cells: A Feasibility Study,Cleveland,Ohio,United States,"July 22, 2015"
144,145,NCT03389919,Mesenchymal Stem Cell Transplantation,Intraosseous Administration of Mesenchymal Stromal Cells for Patients With Graft Failure After Allo-HSCT,MSC administration (intraosseal),EFFECTIVENESS AND SAFETY OF INTRAOSSEOUS ADMINISTRATION OF MESENCHYMAL STORMAL CELLS FOR PRIMARY GRAFT FAILURE AFTER ALLOGENEIC STEM CELL TRANSPLANTATION,Moscow,,Russian Federation,"January 1, 2017"
145,146,NCT02630836,Femoral Neck Fracture,Allogeneic Mesenchymal Stromal Cells in Elderly Patients With Hip Fracture,XCEL-MT-OSTEO-BETA|Surgical treatment,A Pilot Clinical Trial of ex Vivo Expanded Allogenic Adult Stem Cells Combined With Allogenic Human Bone Tissue (XCEL-MT-OSTEO-BETA) in Proximal Femur Fractures in Elderly Patients,,,,December 2015
146,147,NCT03099239,Autism|Autism Spectrum Disorder|ASD,hCT-MSCs for Children With Autism Spectrum Disorder (ASD),hCT-MSC infusion,"A Phase I Study of hCT-MSC, An Umbilical Cord-Derived Mesenchymal Stromal Cell Product, in Children With Autism Spectrum Disorder",Durham,North Carolina,United States,"June 6, 2017"
147,148,NCT01585857,Osteoarthritis,ADIPOA - Clinical Study,Autologous adipose derived stem cells administrated for intra-articular use|Autologous adipose derived stem cells administrated for intra-articular use,"A Phase I, Prospective, Bi-centric,Single -Arm, Open-label, Dose-escalating Clinical Trial to Evaluate the Safety of a Single Injection of Autologous Adipose Derived Mesenchymal Stromal Cells in the Treatment of Severe Osteoarthritis of the Knee Joint",Montpellier|Würzburg,,France|Germany,April 2012
148,149,NCT03113747,Second- or Third-degree Burns,Allogeneic ADSCs and Platelet-Poor Plasma Fibrin Hydrogel to Treat the Patients With Burn Wounds (ADSCs-BWs),ALLO-ASCs,Safety and Efficacy Evaluation of Tissue Engineered Construct Based on Allogeneic Adipose-derived Multipotent Mesenchymal Stromal Cells and Platelet-poor Plasma Fibrin Hydrogel to Treat the Patients With Burn Wounds,Kyiv,,Ukraine,"March 25, 2015"
149,150,NCT05491135,Acute Liver Failure,Hepatocyte Microbeads for Acute Liver Failure,HMB002,Hepatocytes Co-Encapsulated With Mesenchymal Stromal Cells in Alginate Microbeads for the Treatment of Acute Liver Failure in Paediatric Patients (HELP),,,,September 2022
150,151,NCT02706132,Liver Transplantation,Therapeutic Strategy and the Role of Mesenchymal Stromal Cells for ABO Incompatible Liver Transplantation,Mesenchymal Stem Cells(MSCs),MSC for ABO Incompatible Liver Transplantation,Guangzhou,Guangdong,China,February 2014
151,152,NCT04545307,Pulp Necroses|Apical Periodontitis,Transplantation of Allogeneic MSC in Patients With Pulp Necrosis and Chronic Apical Periodontitis,Allogenic transplant of BM-MSC in a root canal from patients with immature apexes and pulpar necrosis and apical periodontitis,Transplantation of Allogeneic Mesenchymal Stromal Cells in Patients With Immature Apex Teeth With Pulp Necrosis and Chronic Apical Periodontitis,San Antonio de los Altos,Miranda,Venezuela,"November 27, 2019"
152,153,NCT04007081,Xerostomia|Head and Neck Cancer,Salivary Gland Autotransplantation for Treatment of XRT Induced Xerostomia,Bone Marrow Aspiration|Ultrasound Imaging of Salivary Glands|Salivary Assay|Quality of Life Instruments,Salivary Gland Autotransplantation of Marrow Mesenchymal Stromal Cells for Treatment of Radiation-induced Xerostomia - FDA IND (Investigational New Drug) Enabling Studies,Madison,Wisconsin,United States,"October 18, 2019"
153,154,NCT01686139,Type I Diabetes Mellitus With Ulcer|Type II Diabetes Mellitus With Ulcer,Safety Study of Stem Cells Treatment in Diabetic Foot Ulcers,ABMD-MSC,Phase 1 Study: Treatment of Patients With Diabetic Foot Complications With Allogeneic Bone Marrow Derived Mesenchymal Stromal Cells (ABMD-MSC),Ramat Gan,,Israel,March 2016
154,155,NCT01275612,Solid Tumors|Acute Kidney Injury,Mesenchymal Stem Cells In Cisplatin-Induced Acute Renal Failure In Patients With Solid Organ Cancers,Mesenchymal stromal cell infusion,Ex-Vivo Expanded Mesenchymal Stem Cells To Repair The Kidney And Improve Function In Cisplatin-Induced Acute Renal Failure In Patients With Solid Organ Cancers,Bergamo,BG,Italy,November 2010
155,156,NCT05333029,Graft Versus Host Disease,Extracorporeal Photopheresis and Mesenchymal Stem Cell Infusion for GVHD,Allogeneic mesenchymal stromal cells (MSCs)|Extracorporeal photopheresis (ECP),A Phase II Study of Combination Treatment With Extracorporeal Photopheresis and Mesenchymal Stem Cell Infusion for High-Risk and Steroid-Refractory Acute GVHD,Cleveland,Ohio,United States,October 2022
156,157,NCT03673748,Lupus Nephritis|Lupus Erythematosus,Treatment of Lupus Nephritis With Allogeneic Mesenchymal Stem Cells,Mesenchymal stromal cells (MSC)|Placebo,A Phase II Controlled Trial of Allogeneic Mesenchymal Stem Cells for the Treatment of Lupus Nephritis,Valladolid,,Spain,December 2022
157,158,NCT02274428,Mesenchymal Stromal Cells,Phase 1 Clinical Trial of PNEUMOSTEM® Treatment in Premature Infants With Intraventricular Hemorrhage,pneumostem,Phase 1 Clinical Trial of PNEUMOSTEM® Treatment in Premature Infants With Intraventricular Hemorrhage,Seoul,,"Korea, Republic of",October 2014
158,159,NCT03635450,Moderate to Severe Hypoxic-ischemic Encephalopathy,Study of hCT-MSC in Newborn Infants With Moderate or Severe HIE,Infusion of hCT-MSC,"A Phase I Study of hCT-MSC, an Umbilical Cord-Derived Mesenchymal Stromal Cell Product, in Newborn Infants With Moderate or Severe Hypoxic- Ischemic Neonatal Encephalopathy.",Durham,North Carolina,United States,"December 27, 2018"
159,160,NCT01463475,Graft Versus Host Disease (GVHD)|Acute Myocardial Infarction (AMI),University of Wisconsin hMSC Cell Bank: Bone Marrow Donor Protocol,Bone marrow aspirate,University of Wisconsin hMSC Cell Bank: Bone Marrow Donor Protocol,Madison,Wisconsin,United States,September 2011
160,161,NCT02409940,Renal Transplant Rejection,To Elucidate the Effect of Mesenchymal Stem Cells on the T Cell Repertoire of the Kidney Transplant Patients,Mesenchymal Stem Cells,A Randomized Trial to Elucidate Effect of Mesenchymal Stem Cells on Immune Modulation in Living Related Kidney Transplant Patients,Chandigarh,,India,September 2013
161,162,NCT02195323,Chronic Kidney Disease,Autologous Bone Marrow Derived Mesenchymal Stromal Cells (BM-MSCs) in Patients With Chronic Kidney Disease (CKD),Intravenous injection,Administration of Autologous Bone Marrow Mesenchymal Stem Cells (BM-MSCs) in Patients With Chronic Kidney Disease (CKD),Tehran,,"Iran, Islamic Republic of",April 2014
162,163,NCT03171194,System; Lupus Erythematosus,Pilot Trial of Mesenchymal Stem Cells for Systemic Lupus Erythematosus,Low Dose Mesenchymal Stem Cells (MSCs),A Phase I Safety Trial of Allogeneic Mesenchymal Stem Cells for Systemic Lupus Erythematosus,Atlanta|Charleston,Georgia|South Carolina,United States|United States,"April 27, 2017"
163,164,NCT02801890,Ultra Filtration Failure,Evaluation of Autologous Adipose Derived Mesenchymal Stromal Cells (AD-MSC) Transplantation in Ultra Filtration Failure (UFF),Intravenous injection,Autologous AD-MSC Transplantation in Peritoneal Dialysis Patients With Ultra Filtration Failure and Evaluation of Cellular and Molecular Effects of Mesenchymal Stem Cell Infusion on Peritoneal Fibrosis,Tehran,,"Iran, Islamic Republic of",August 2015
164,165,NCT04466007,Limb Ischemia|Diabetic Foot,Safety and Efficacy of Allogeneic Adipose Tissue Mesenchymal Stem Cells in Diabetic Patients With Critical Limb Ischemia,High dose allogeneic mesenchymal stromal cells|Low dose allogeneic mesenchymal stromal cells|Placebos,"Multicenter, Randomized, Dose-search, Parallel, Double-blind, and Placebo-controlled Clinical Trial to Evaluate the Safety and Efficacy of Intramuscular Administration of Allogeneic Adipose Tissue Adult Mesenchymal Stem Cells in Diabetic Patients With Critical Limb Ischemia Without Possibility of Revascularization",Alicante|Madrid|Madrid|Madrid|Murcia|Pamplona|Salamanca|Sevilla|Valencia|Valladolid,,Spain|Spain|Spain|Spain|Spain|Spain|Spain|Spain|Spain|Spain,"January 11, 2021"
165,166,NCT03356821,Perinatal Arterial Ischemic Stroke|Neonatal Stroke,Perinatal Arterial Stroke Treated With Stromal Cells Intranasally,Mesenchymal Stem Cells,Adult Mesenchymal Stromal Cells to Regenerate the Neonatal Brain: the PASSIoN Trial (Perinatal Arterial Stroke Treated With Stromal Cells IntraNasally),Utrecht,,Netherlands,"February 11, 2020"
166,167,NCT03909139,Acetabular Labrum Tear|Femoro Acetabular Impingement|Chondral Defect|Bone Marrow Aspirate Concentrate|Mesenchymal Stromal Cell,Use of BMAC With Hip Arthroscopy Treatment of FAI and Labral Tear,BMAC,Prospective PROMs Outcomes in Arthroscopic Acetabular Labral Repair With and Without Application of Platelet-Rich Plasma (PRP) Harvested From the Body of the Ilium,Boston,Massachusetts,United States,"September 6, 2019"
167,168,NCT02247973,Severe Aplastic Anemia,Mesenchymal Stem Cells Co-transplantation in Alternative Donor Transplantation of Severe Aplastic Anemia.,mesenchymal stem cells|mesenchymal stem cells,PhaseⅡTrial of Co-transplantation With Bone Marrow Derived Mesenchymal Stem Cells From Related Donors in Alternative Donor Transplantation of Severe Aplastic Anemia.,Guangzhou,Guangdong,China,February 2013
168,169,NCT02940418,Diabetes Mellitus Type 1,Use of Stem Cells in Diabetes Mellitus Type 1,Adipose mesenchymal cells with bone marrow mononuclear cells,The Use of Mesenchymal Stromal Cells (MSC) in Type 1 Diabetes Mellitus in Adult Humans: Phase I Clinical Trial,Amman,,Jordan,"February 19, 2017"
169,170,NCT01840540,Atherosclerotic Renal Artery Stenosis|Ischemic Nephropathy|Renovascular Hypertension,MSC for Occlusive Disease of the Kidney,Arterial infusion of autologous mesenchymal stem cells,Phase I Study of Autologous Mesenchymal Stem Cells in the Treatment of Atherosclerotic Renal Artery Stenosis,Rochester,Minnesota,United States,April 2013
170,171,NCT04247945,Allogeneic Hematopoietic Stem Cell Transplantation,Co-transplantation of MSC in the Setting of Allo-HSCT,Cotransplant with MSCs,Co-transplantation of Mesenchymal Stromal Cells in Allogeneic Hematopoietic Stem Cell Transplantation,Fuzhou,Fujian,China,"February 1, 2020"
171,172,NCT03369275,Septic Shock|Sepsis|Pathologic Processes|Shock|Infection|Systemic Inflammatory Response Syndrome|Inflammation,Cellular Immunotherapy for Septic Shock,Allogeneic Bone Marrow-Derived Human Mesenchymal Stem Cells|Placebo,Cellular Immunotherapy for Septic Shock (CISS2) A Phase II Randomized Controlled Trial,,,,March 2018
172,173,NCT02408432,Cardiomyopathy|Heart Failure,Bone Marrow Derived Mesenchymal Stem Cells in Improving Heart Function in Patients With Heart Failure Caused by Anthracyclines,Laboratory Biomarker Analysis|Standard of Care|Mesenchymal Stem Cell Transplantation,Intravenous Administration of Allogeneic Bone Marrow Derived Multipotent Mesenchymal Stromal Cells (MSCs) in Patients With Recent Onset Anthracycline-Associated Cardiomyopathy,Houston,Texas,United States,"January 11, 2016"
173,174,NCT05060107,"Osteoarthritis, Knee",Intra-articular Injection of MSC-derived Exosomes in Knee Osteoarthritis (ExoOA-1),Exosomes (sEVs),A Phase I Study Aiming to Assess Safety and Efficacy of a Single Intra-articular Injection of MSC-derived Exosomes (CelliStem®OA-sEV) in Patients With Moderate Knee Osteoarthritis (ExoOA-1),,,,"October 5, 2021"
174,175,NCT03795974,"Cerebral Palsy, Spastic",Efficacy of Allogeneic Umbilical Cord Derived Hematopoietic and Mesenchymal Stem Cells in Cerebral Palsy,MNC|MSC|Control,"Evaluation of the Efficacy of Allogeneic Umbilical Cord Derived Hematopoietic Stem Cells and Mesenchymal Stromal Cells in Patients With Spastic Cerebral Palsy on Developmental Function , A Clinical Trial phase2",Tehran|Tehran|Tehran|Tehran,,"Iran, Islamic Republic of|Iran, Islamic Republic of|Iran, Islamic Republic of|Iran, Islamic Republic of","July 23, 2017"
175,176,NCT04723303,Polymyositis|Dermatomyositis,Phase 1 Study of ULSC in Patients With Polymyositis (PM) and Dermatomyositis (DM),Umbilical Cord Lining Stem Cells,"Phase 1 Study of Mesenchymal Stromal Cells, Umbilical Cord Lining Stem Cells (ULSC), in Patients With Polymyositis (PM) and Dermatomyositis (DM)",Gainesville,Florida,United States,"October 6, 2021"
176,177,NCT03258164,Breast Hypoplasia and Facial Ageing,Cosmetic Fat Transplantation Using Expanded ASC Enriched Fat Grafts,ASC enriched lipofilling|Standard Lipofilling,Fat Transplantation Enriched With Expanded Adipose-derived Autologous Mesenchymal Stromal Cells in Cosmetic Breast Augmentation and Cosmetic Facial Filling,Copenhagen,Søborg,Denmark,"March 22, 2017"
177,178,NCT02962661,Cardiomyopathy|Heart Failure|Hematopoietic and Lymphoid Cell Neoplasm|Malignant Solid Neoplasm,Donor Bone Marrow Derived Mesenchymal Stem Cells in Controlling Heart Failure in Patients With Cardiomyopathy Caused by Anthracyclines,Best Practice|Laboratory Biomarker Analysis|Mesenchymal Stem Cell Transplantation|Mesenchymal Stem Cell Transplantation,Randomized 3-Arm Trial With Standard of Care Alone vs Either Intravenous Infusion or Transendocardial Injection of Allogeneic Bone Marrow Derived Multipotent Mesenchymal Stromal Cells (MSCs) Plus Standard of Care in Patients With Anthracycline-Associated Cardiomyopathy,Houston,Texas,United States,"July 18, 2020"
178,179,NCT04126603,"Diabetes Mellitus, Type 2",Impact of Semaglutide on CD34+ EPC and Fat Derived MSC,Semaglutide|Placebos,Impact of Semaglutide (Long Acting GLP1 Agonist) on Peripheral Blood Derived CD34+ Endothelial Cells (EPCs) and Subcutaneous Fat Derived Mesenchymal Stromal Cells ( MSCs) in Type 2 Diabetes Subjects,Washington,District of Columbia,United States,"August 1, 2019"
179,180,NCT01624701,Acute Leukemia|Chronic Leukemia|Myelodysplastic Syndrome|Lymphoma|Myeloma,Clinical Ex Vivo Expansion of Human Umbilical Cord Blood Stem and Progenitor Cells,Ex vivo expanded cord blood cells,Clinical Ex Vivo Expansion of Human Umbilical Cord Blood Stem and Progenitor Cells: A Pilot Trial in Collaboration With the Massachusetts Institute of Technology,Singapore,,Singapore,March 2012
180,181,NCT03298763,Adenocarcinoma of Lung,Targeted Stem Cells Expressing TRAIL as a Therapy for Lung Cancer,MSCTRAIL|Placebo,Targeted Stem Cells Expressing TRAIL as a Therapy for Lung Cancer,London,,United Kingdom,"March 5, 2019"
181,182,NCT02209311,Partially Edentulous Maxilla|Alveolar Bone Atrophy|Alveolar Bone Loss,Effectiveness and Safety of Method of Maxilla Alveolar Process Reconstruction Using Synthetic Tricalcium Phosphate and Autologous MMSCs,Oral mucosa biopsy|Sinus lift with implantation of tissue engineered construction|Dental implant,Effectiveness and Safety of Method of Maxilla Alveolar Process Reconstruction Using Tissue Engineered Construction Based on a Synthetic Tricalcium Phosphate and Autologous Multipotent Mesenchymal Stromal Cells Obtained From Oral Mucosa,Moscow|Moscow,,Russian Federation|Russian Federation,September 2014
182,183,NCT04390139,COVID-19|SARS-CoV 2|Adult Respiratory Distress Syndrome,Efficacy and Safety Evaluation of Mesenchymal Stem Cells for the Treatment of Patients With Respiratory Distress Due to COVID-19,XCEL-UMC-BETA|Placebo,"A Prospective, Double-blind, Randomized, Parallel, Placebo-controlled Pilot Clinical Trial for the Evaluation of the Efficacy and Safety of Two Doses of WJ-MSC in Patients With Acute Respiratory Distress Syndrome Secondary to Infection by COVID-19",Hospitalet de Llobregat|Terrassa|Barcelona|Barcelona|Barcelona,Barcelona|Barcelona,Spain|Spain|Spain|Spain|Spain,"May 13, 2020"
183,184,NCT05553132,Cartilage Defect,A Study of REcycled CartiLage Auto/Allo IMplantation to Treat and Repair Focal Hip Cartilage Defects,Autologous Chondrocytes in their Pericellular Matrix (Chondrons) Coimplanted with Allogeneic Adipose-Derived Mesenchymal Stromal Cells (AMSCs) in a Fibrin Glue Carrier,Hip RECLAIM: A Phase I Safety and Feasibility Trial of REcycled CartiLage Auto/Allo IMplantation for the Treatment and Repair of Focal Hip Cartilage Defects,Rochester,Minnesota,United States,October 2022
184,185,NCT02017912,Amyotrophic Lateral Sclerosis (ALS),"Phase 2, Randomized, Double Blind, Placebo Controlled Multicenter Study of Autologous MSC-NTF Cells in Patients With ALS",Autologous MSC-NTF cells|Placebo,"A Phase 2, Randomized, Double Blind, Placebo Controlled Multicenter Study to Evaluate Safety and Efficacy of Transplantation of Autologous Mesenchymal Stem Cells Secreting Neurotrophic Factors (MSC-NTF) in Patients With ALS",Boston|Worcester|Rochester,Massachusetts|Massachusetts|Minnesota,United States|United States|United States,May 2014
185,186,NCT01606215,Multiple Sclerosis,Stem Cells in Rapidly Evolving Active Multiple Sclerosis,Mesenchymal stem cells|Placebo,Stem Cells in Rapidly Evolving Active Multiple Sclerosis,London,,United Kingdom,January 2013
186,187,NCT05008588,Ischemic Stroke,Combination of Conditioned Medium and Umbilical Cord-Mesenchymal Stem Cells Therapy for Acute Stroke Infarct,Conditioned Medium|Umbilical Cord Mesenchymal Stem Cells|Neurologic and Neutrophic Drugs,Safety and Efficacy of Combined Conditioned Medium With Umbilical Cord Mesenchymal Stem Cells as A Novel Strategy for Acute Stroke Infarct,Jakarta Pusat|Jakarta,DKI Jakarta,Indonesia|Indonesia,"May 30, 2022"
187,188,NCT00908856,Stroke,Autologous Cell Therapy After Stroke,autologous bone marrow mononuclear cell transfusion|marrow stromal cells|placebo,Safety of IV Autologous Mononuclear Cells and Marrow Stromal Cells After Stroke,Orange,California,United States,January 2016
188,189,NCT03609905,Ulcerative Colitis (UC),Adipose Mesenchymal Stem Cells (AMSC) for Treatment of Ulcerative Colitis,Adipose-cord mesenchymal stromal cells (A-MSCs)|Conventional drugs,"A Phase I/II Randomized, Controlled, Clinical Trial for Assessment of the Safety and Efficacy of Allogeneic Adipose Mesenchymal Stem Cells in Moderate to Severe Ulcerative Colitis Patients",Liaocheng,Shandong,China,"July 1, 2018"
189,190,NCT03166865,Osteoarthritis of the Knee,Clinical Study of Umbilical Cord Mesenchymal Stem Cells (UC-MSC) for Treatment of Knee Osteoarthritis,Umbilical-cord mesenchymal stromal cells (UC-MSCs)|Hyaluronic acid,Clinical Study of Umbilical Cord Mesenchymal Stem Cells (UC-MSC) for Treatment of Knee Osteoarthritis,Liaocheng,Shandong,China,"October 1, 2018"
190,191,NCT03028428,Osteoarthritis|Stem Cells|MSC,Intra-articular Injection of MSCs in Treatment of Knee OA,Placenta Derived Mesenchymal Stem Cell|Sodium Hyaluronate,Clinical Research on Intra-articular Injection of Human Autologous MSCs in Treatment of Knee OA,,,,December 2016
191,192,NCT00395200,Multiple Sclerosis,Mesenchymal Stem Cells in Multiple Sclerosis (MSCIMS),MSC Treatment,Autologous Adult Human Mesenchymal Stem Cells: a Neuroprotective Therapy for Multiple Sclerosis,Cambridge|London,Cambridgeshire,United Kingdom|United Kingdom,July 2008
192,193,NCT01730547,Multiple Sclerosis,Mesenchymal Stem Cells for Multiple Sclerosis,Autologous mesenchymal stem cells,Phase 1/2 Clinical Trial With Autologous Mesenchymal Stem Cells for the Therapy of Multiple Sclerosis,Stockholm,,Sweden,February 2013
193,194,NCT04961658,Septic Shock,Advanced Mesenchymal Enhanced Cell THerapY for SepTic Patients,GEM00220,Advanced Mesenchymal Enhanced Cell THerapY for SepTic Patients,Oshawa|Toronto,Ontario|Ontario,Canada|Canada,"August 11, 2021"
194,195,NCT03799718,"Multiple Sclerosis, Chronic Progressive",Safety and Efficacy of Repeated Administration of NurOwn (MSC-NTF Cells) in Participants With Progressive MS,NurOwn (MSC-NTF cells),"A Phase 2 Open-label Multicenter Study to Evaluate the Safety and Efficacy of Repeated Administration of NurOwn® [Autologous Mesenchymal Stem Cells Secreting Neurotrophic Factors (NTF), MSC-NTF] Cells in Participants With Progressive MS",Los Angeles|Redwood City|New York|Cleveland,California|California|New York|Ohio,United States|United States|United States|United States,"March 13, 2019"
195,196,NCT02685098,Ischemia|Peripheral Arterial Disease|Peripheral Vascular Disease|Vascular Disease|Arterial Occlusive Disease|Arteriosclerosis|Atherosclerosis|Cardiovascular Disease|Pathologic Processes|Orthopedic Procedures|Amputation,A Clinical and Histological Analysis of Mesenchymal Stem Cells in Amputation,Allogeneic bone marrow derived mesenchymal stem cells,A Clinical and Histological Analysis of Mesenchymal Stem Cells in Amputation,Indianapolis,Indiana,United States,January 2017
196,197,NCT03847844,Acute-graft-versus-host Disease,UCMSCs as Front-line Approach of Treatment for Patients With aGVHD,Umbilical cord derived mesenchymal stem cell|Placebo,Cytopeutics® Umbilical Cord Mesenchymal Stem Cells (Cyto-MSC) for Patients With Grade II -IV Acute Graft-Versus-Host Disease: A Phase I/II Clinical Study,Ampang,Selangor,Malaysia,"February 1, 2019"
197,198,NCT04061746,"Diabetes Mellitus, Type 1",Cellular Therapy for Type 1 Diabetes Using Mesenchymal Stem Cells,Mesenchymal Stem Cells (MSCs)|Placebo Infusion (Plasmalyte A with 0.5% human serum albumin),Cellular Therapy for Type 1 Diabetes Using Mesenchymal Stem Cells,Charleston,South Carolina,United States,"February 13, 2020"
198,199,NCT03280056,Amyotrophic Lateral Sclerosis (ALS),Safety and Efficacy of Repeated Administrations of NurOwn® in ALS Patients,NurOwn® (MSC-NTF cells)|Placebo|Bone Marrow aspiration,"A Phase 3, Randomized Double-Blind, Placebo-Controlled Multicenter Study to Evaluate Efficacy and Safety of Repeated Administration of NurOwn® (Autologous Mesenchymal Stem Cells Secreting Neurotrophic Factors) in Participants With ALS",Irvine|Los Angeles|San Francisco|Boston|Worcester|Rochester,California|California|California|Massachusetts|Massachusetts|Minnesota,United States|United States|United States|United States|United States|United States,"August 28, 2017"
199,200,NCT02812121,Liver Failure,UC-MSC Infusion for HBV-Related Acute-on-Chronic Liver Failure,umbilical cord blood mesenchymal stem cells,Umbilical Cord Blood Derived Mesenchymal Stem Cells Infusion for HBV-Related Acute-on-Chronic Liver Failure: A Randomized Controlled Trial,,,,June 2016
200,201,NCT01446614,Parkinson's Disease,Mesenchymal Stem Cells Transplantation to Patients With Parkinson's Disease,bone marrow derived mesenchymal stem cells,PhaseⅠ/ⅡTrial of Autologous Bone Marrow Derived Mesenchymal Stem Cells to Patients With Parkinson's Disease.,Guangzhou,Guangdong,China,October 2011
201,202,NCT01446640,Spinal Cord Injury,Mesenchymal Stem Cells Transplantation to Patients With Spinal Cord Injury,bone marrow derived mesenchymal stem cells,PhaseⅠ/ⅡTrial of Autologous Bone Marrow Derived Mesenchymal Stem Cells to Patients With Spinal Cord Injury.,Guangzhou,Guangdong,China,October 2011
202,203,NCT01305694,Aplastic Anemia,Mesenchymal Stem Cells Transplantation to Patients With Relapsed/Refractory Aplastic Anemia.,bone marrow derived mesenchymal stem cells,PhaseⅠ/ⅡTrial of Bone Marrow Derived Mesenchymal Stem Cell Transplantation From Related Donor to Patients With Relapsed/Refractory Aplastic Anemia.,Guangzhou,Guangdong,China,February 2011
203,204,NCT04432545,Systemic Sclerosis Pulmonary|Pulmonary Hypertension|Pulmonary Fibrosis,Infusion of Allogeneic Mesenchymal Stem Cells in Patients With Diffuse Cutaneous Systemic Sclerosis With Refractory Pulmonary Involvement,Mesenchymal Stem Cells from Wharton ́s jellyintravenous infusion of Mesenchymal Stem Cells from Wharton ́s jelly,Infusion of Allogeneic Stromal Mesenchymal Stem Cells From Wharton´s Jelly in Patients With Diffuse Cutaneous Systemic Sclerosis With Refractory Pulmonary Involvement to Treatment,Chía,Chia,Colombia,
204,205,NCT02249676,Devic's Syndrome|Devic's Neuromyelitis Optica|Devic Syndrome|Devic's Disease|Devic Disease,Autologous Mesenchymal Stem Cells for the Treatment of Neuromyelitis Optica Spectrum Disorders,Autologous mesenchymal stem cells,Autologous Mesenchymal Stem Cells for the Treatment of Progressive and Refractory Neuromyelitis Optica Spectrum Disorders: an Open-label Phase 2a Proof-of-concept Study,Tianjin,Tianjin,China,January 2013
